Name,Age,Tm,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,HBP,IBB
A.J. Pierzynski,32,CHW,138,535,504,57,151,22,1,13,49,1,1,24,52,1,6
Aaron Bates,25,BOS,5,12,11,2,4,2,0,0,2,0,0,1,4,0,0
Aaron Boone,36,HOU,10,14,13,0,0,0,0,0,0,0,0,0,2,1,0
Aaron Cook,30,COL,26,58,44,3,5,1,0,0,6,0,0,7,14,1,0
Aaron Cunningham,23,OAK,23,57,53,6,8,2,0,1,6,0,0,3,16,1,0
Aaron Harang,31,CIN,25,54,47,1,7,1,0,1,6,0,0,1,12,0,0
Aaron Hill,27,TOR,158,734,682,103,195,37,0,36,108,6,2,42,98,5,1
Aaron Miles,32,CHC,74,170,157,17,29,7,1,0,5,3,0,8,21,0,1
Aaron Rowand,31,SFG,144,546,499,61,130,30,2,15,64,4,1,30,125,14,2
Adam Dunn,29,WSN,159,668,546,81,146,29,0,38,105,0,1,116,177,4,16
Adam Everett,32,DET,118,390,345,43,82,21,0,3,44,5,2,22,61,4,0
Adam Jones,23,BAL,119,519,473,83,131,22,3,19,70,10,4,36,93,7,3
Adam Kennedy,33,OAK,129,587,529,65,153,29,1,11,63,20,6,45,86,4,2
Adam LaRoche,29,TOT,150,629,555,78,154,38,2,25,83,2,2,69,142,0,12
Adam Lind,25,TOR,151,654,587,93,179,46,0,35,114,1,1,58,110,5,7
Adam Moore,25,SEA,6,24,23,4,5,1,0,1,2,1,0,0,7,1,0
Adam Rosales,26,CIN,87,266,230,23,49,10,1,4,19,1,2,26,46,5,0
Adam Wainwright,27,STL,39,96,89,7,16,5,1,2,4,0,0,1,26,0,0
Adrian Beltre,30,SEA,111,477,449,54,119,27,0,8,44,13,2,19,74,7,1
Adrian Gonzalez,27,SDP,160,681,552,90,153,27,2,40,99,1,1,119,109,5,22
Akinori Iwamura,30,TBR,69,260,231,28,67,16,2,1,22,9,1,24,44,1,0
Albert Pujols,29,STL,160,700,568,124,186,45,1,47,135,16,4,115,64,9,44
Alberto Callaspo,26,KCR,155,634,576,79,173,41,8,11,73,2,1,52,51,1,4
Alberto Gonzalez,26,WSN,105,316,291,31,77,16,3,1,33,1,1,14,27,3,1
Alcides Escobar,22,MIL,38,134,125,20,38,3,1,1,11,4,2,4,18,2,0
Alejandro De Aza,25,FLA,22,27,20,6,5,1,0,0,3,0,0,5,5,0,0
Alex Avila,22,DET,29,72,61,9,17,4,0,5,14,0,0,10,18,0,0
Alex Cintron,30,WSN,21,28,26,1,2,0,0,0,0,0,0,2,7,0,0
Alex Cora,33,NYM,82,308,271,31,68,11,1,1,18,8,3,25,28,3,1
Alex Gonzalez,32,TOT,112,429,391,42,93,22,0,8,41,2,1,20,65,4,4
Alex Gordon,25,KCR,49,189,164,28,38,6,0,6,22,5,0,21,43,2,0
Alex Rios,28,TOT,149,633,582,63,144,31,2,17,71,24,5,37,107,6,1
Alex Rodriguez,33,NYY,124,535,444,78,127,17,1,30,100,14,2,80,97,8,7
Alex Romero,25,ARI,66,157,145,14,36,6,2,1,18,2,0,11,23,1,1
Alexei Ramírez,27,CHW,148,606,542,71,150,14,1,15,68,14,5,49,66,1,3
Alexi Casilla,24,MIN,80,256,228,25,46,7,3,0,17,11,0,22,36,3,0
Alfonso Soriano,33,CHC,117,522,477,64,115,25,1,20,55,9,2,40,118,3,6
Alfredo Amezaga,31,FLA,27,75,69,6,15,3,0,0,5,1,1,5,16,0,2
Anderson Hernandez,26,TOT,123,404,366,39,92,15,4,3,37,7,5,33,63,0,2
Andre Ethier,27,LAD,160,685,596,92,162,42,3,31,106,6,4,72,116,13,10
Andres Blanco,25,CHC,53,138,123,15,31,8,0,1,12,0,2,8,14,1,3
Andres Torres,31,SFG,75,170,152,30,41,6,8,6,23,6,1,16,45,1,0
Andrew McCutchen,22,PIT,108,493,433,74,124,26,9,12,54,22,5,54,83,2,2
Andrew Miller,24,FLA,18,26,24,0,2,0,0,0,0,0,0,0,8,0,0
Andruw Jones,32,TEX,82,331,281,43,60,18,0,17,43,5,1,45,72,2,3
