Name,Age,Tm,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,HBP,IBB
Andy Gonzalez,27,FLA,14,12,12,1,1,0,1,0,0,0,0,0,4,0,0
Andy LaRoche,25,PIT,150,590,524,64,135,29,5,12,64,3,1,50,84,8,1
Andy Marte,25,CLE,47,175,155,20,36,6,1,6,25,0,0,14,30,1,1
Andy Sonnanstine,26,TBR,6,12,11,3,3,1,0,0,1,0,0,1,6,0,0
Andy Tracy,35,PHI,9,12,12,1,5,0,1,0,1,0,0,0,3,0,0
Angel Berroa,31,TOT,35,55,49,10,7,2,0,0,3,0,0,3,12,1,1
Angel Pagan,27,NYM,88,376,343,54,105,22,11,6,32,14,7,25,56,0,2
Anibal Sanchez,25,FLA,16,31,23,0,0,0,0,0,0,0,0,3,8,0,0
Aramis Ramirez,31,CHC,82,342,306,46,97,14,1,15,65,2,1,28,43,8,3
Argenis Reyes,26,NYM,9,18,17,0,2,0,0,0,0,1,0,1,4,0,0
Asdrubal Cabrera,23,CLE,131,581,523,81,161,42,4,6,68,17,4,44,89,1,1
Aubrey Huff,32,TOT,150,597,536,59,129,30,1,15,85,0,6,51,87,5,7
Augie Ojeda,34,ARI,103,310,264,38,65,17,3,1,16,3,1,32,28,6,3
Austin Kearns,29,WSN,80,211,174,20,34,6,2,3,17,1,1,32,51,5,1
Bárbaro Cañizares,29,ATL,5,21,21,1,4,1,0,0,0,0,0,0,6,0,0
Barry Zito,31,SFG,33,67,51,2,6,0,0,0,0,0,0,4,16,0,0
Ben Francisco,27,TOT,126,459,405,58,104,30,1,15,46,14,7,38,83,9,0
Ben Zobrist,28,TBR,152,599,501,91,149,28,7,27,91,17,6,91,104,2,4
Bengie Molina,34,SFG,132,520,491,52,130,25,1,20,80,0,0,13,68,5,3
Bill Hall,29,TOT,110,365,334,32,67,20,1,8,36,2,2,27,120,0,0
Billy Buckner,25,ARI,14,23,21,0,5,2,0,0,6,0,0,0,8,0,0
Billy Butler,23,KCR,159,672,608,78,183,51,1,21,93,1,0,58,103,2,3
Blake DeWitt,23,LAD,31,53,49,4,10,3,0,2,4,0,0,3,7,0,0
Bobby Abreu,35,LAA,152,667,563,96,165,29,3,15,103,30,8,94,113,1,7
Bobby Crosby,29,OAK,97,272,238,35,53,10,2,6,29,2,1,24,44,2,0
Bobby Parnell,24,NYM,65,12,8,1,1,0,0,0,0,0,0,0,3,0,0
Bobby Scales,31,CHC,51,138,124,15,30,8,2,3,15,0,0,11,32,2,1
Brad Ausmus,40,LAD,36,107,95,9,28,4,0,1,9,1,0,5,21,2,0
Brad Hawpe,30,COL,145,588,501,82,143,42,3,23,86,1,3,79,145,4,7
Brad Nelson,26,MIL,19,23,21,0,0,0,0,0,0,0,0,2,9,0,0
Brad Penny,31,TOT,8,21,19,0,2,0,0,0,0,0,0,0,6,0,0
Brad Thompson,27,STL,31,14,12,0,1,0,0,0,0,0,0,0,7,0,0
Braden Looper,34,MIL,32,73,60,3,12,0,0,0,8,0,0,2,18,0,0
Brandon Allen,23,ARI,32,116,104,13,21,7,0,4,14,0,0,12,40,0,2
Brandon Boggs,26,TEX,9,18,17,0,1,1,0,0,0,0,0,1,8,0,0
Brandon Inge,32,DET,161,637,562,71,129,16,1,27,84,2,5,54,170,17,1
Brandon Jones,25,ATL,5,17,13,2,4,0,0,0,1,0,0,4,3,0,0
Brandon Moss,25,PIT,133,424,385,47,91,20,4,7,41,1,5,34,84,4,3
Brandon Phillips,28,CIN,153,644,584,78,161,30,5,20,98,25,9,44,75,6,3
Brandon Wood,24,LAA,18,46,41,5,8,1,0,1,3,0,0,3,19,1,0
Brayan Pena,27,KCR,64,183,165,17,45,10,0,6,18,0,0,12,18,0,2
Brendan Harris,28,MIN,123,453,414,44,108,22,1,6,37,0,2,29,78,3,0
Brendan Ryan,27,STL,129,429,390,55,114,19,7,3,37,14,7,24,56,6,3
Brent Lillibridge,25,CHW,46,112,95,9,15,2,0,0,3,6,3,14,26,1,0
Brett Carroll,26,FLA,92,158,141,18,33,8,2,3,18,0,0,11,33,4,1
Brett Gardner,25,NYY,108,284,248,48,67,6,6,3,23,26,5,26,40,3,0
Brett Hayes,25,FLA,14,12,11,5,3,1,0,1,2,0,0,0,4,1,0
Brett Myers,28,PHI,17,20,18,2,4,1,0,0,0,0,0,1,4,0,0
Brian Anderson,27,TOT,86,231,202,32,49,9,0,4,18,3,6,23,54,3,0
Brian Barden,28,STL,52,114,103,13,24,3,0,4,10,0,0,6,21,2,0
Brian Bixler,26,PIT,18,46,44,5,10,5,0,0,3,1,0,2,26,0,0
Brian Buscher,28,MIN,61,164,136,14,32,3,1,2,12,0,0,24,35,3,0
Brian Giles,38,SDP,61,254,225,18,43,10,1,2,23,1,0,26,31,1,2
Brian McCann,25,ATL,138,551,488,63,137,35,1,21,94,4,1,49,83,5,3
Brian Moehler,37,HOU,28,47,42,0,1,0,0,0,0,0,0,1,18,1,0
Brian Roberts,31,BAL,159,717,632,110,179,56,1,16,79,30,7,74,112,2,3
Brian Schneider,32,NYM,59,194,170,11,37,11,0,3,24,0,0,18,21,1,1
Bronson Arroyo,32,CIN,34,76,62,4,7,3,0,0,0,0,0,0,27,0,0
Brooks Conrad,29,ATL,30,58,54,7,11,1,2,2,8,0,0,3,14,1,1
Bud Norris,24,HOU,11,18,16,1,3,0,0,0,0,0,0,0,4,1,0
Burke Badenhop,26,FLA,32,13,10,0,0,0,0,0,1,0,0,0,5,0,0
Buster Posey,22,SFG,7,17,17,1,2,0,0,0,0,0,0,0,4,0,0
Cameron Maybin,22,FLA,54,199,176,30,44,12,2,4,13,1,3,17,51,1,1
Carl Crawford,27,TBR,156,672,606,96,185,28,8,15,68,60,16,51,99,8,1
Carlos Beltran,32,NYM,81,357,308,50,100,22,1,10,48,11,1,47,43,1,10
Carlos Delgado,37,NYM,26,112,94,15,28,7,1,4,23,0,0,12,20,4,0
Carlos Gomez,23,MIN,137,349,315,51,72,15,5,3,28,14,7,22,72,4,0
Carlos Gonzalez,23,COL,89,317,278,53,79,14,7,13,29,16,4,28,70,3,3
Carlos Guillen,33,DET,81,322,277,36,67,10,3,11,41,1,3,39,56,3,2
Carlos Lee,33,HOU,160,662,610,65,183,35,1,26,102,5,3,41,51,3,5
Carlos Pena,31,TBR,135,570,471,91,107,25,2,39,100,3,3,87,163,9,11
Carlos Quentin,26,CHW,99,399,351,47,83,14,0,21,56,3,0,31,52,15,2
Carlos Ruiz,30,PHI,107,379,322,32,82,26,1,9,43,3,2,47,39,4,8
Carlos Villanueva,25,MIL,61,13,11,0,1,0,0,0,0,0,0,1,7,0,0
Carlos Zambrano,28,CHC,33,72,69,7,15,5,0,4,11,0,0,1,28,0,0
Casey Blake,35,LAD,139,565,485,84,136,25,6,18,79,3,4,63,116,6,8
Casey Kotchman,26,TOT,126,431,385,37,103,23,0,7,48,1,0,39,42,4,6
Casey McGehee,26,MIL,116,394,355,58,107,20,1,16,66,0,2,34,67,1,2
Cesar Izturis,29,BAL,114,412,387,34,99,14,4,2,30,12,4,18,38,3,0
Chad Billingsley,24,LAD,30,67,56,2,10,2,0,1,4,0,0,4,24,0,0
Chad Gaudin,26,TOT,18,30,28,0,1,0,0,0,0,0,0,1,14,0,0
Chad Moeller,34,BAL,30,100,89,6,23,8,1,2,10,0,0,7,16,1,0
Chad Tracy,29,ARI,98,288,257,29,61,15,0,8,39,1,0,26,38,1,7
Chan Ho Park,36,PHI,42,18,14,1,2,0,0,1,1,0,0,3,5,0,0
Charlie Morton,25,PIT,18,33,31,1,4,0,0,0,1,0,0,0,15,0,0
Chase Headley,25,SDP,156,612,543,62,142,31,2,12,64,10,2,62,133,5,3
Chase Utley,30,PHI,156,687,571,112,161,28,4,31,93,23,0,88,110,24,3
Chipper Jones,37,ATL,143,596,488,80,129,23,2,18,71,4,1,101,89,1,18
Chone Figgins,31,LAA,158,729,615,114,183,30,7,5,54,42,17,101,114,1,0
Chris Burke,29,SDP,32,89,82,8,17,5,0,1,5,4,1,6,16,1,0
Chris Carpenter,34,STL,26,69,63,3,11,3,0,1,7,0,0,2,13,1,0
Chris Coghlan,24,FLA,128,565,504,84,162,31,6,9,47,8,5,53,77,4,2
Chris Coste,36,TOT,88,230,205,15,46,13,0,2,18,0,0,22,55,1,1
Chris Davis,23,TEX,113,419,391,48,93,15,1,21,59,0,0,24,150,2,2
Chris Dickerson,27,CIN,97,299,255,31,70,13,3,2,15,11,3,39,66,1,1
Chris Duffy,29,MIL,19,37,32,3,4,1,0,0,3,0,0,4,12,0,0
Chris Duncan,28,STL,87,304,260,25,59,15,2,5,32,0,1,41,67,0,1
Chris Getz,25,CHW,107,415,375,49,98,18,4,2,31,25,2,30,54,6,1
Chris Gimenez,26,CLE,45,130,111,12,16,2,0,3,7,1,1,17,36,0,0
Chris Iannetta,26,COL,93,350,289,41,66,15,2,16,52,0,1,43,75,11,3
Chris Johnson,24,HOU,11,23,22,1,2,0,0,0,1,0,0,1,6,0,0
Chris Richard,35,TBR,13,23,19,1,2,0,0,0,0,0,0,4,7,0,0
Chris Shelton,29,SEA,9,28,26,1,6,2,0,0,4,0,0,2,11,0,0
Chris Snyder,28,ARI,61,202,165,20,33,7,0,6,22,0,0,32,47,2,4
Chris Volstad,22,FLA,28,54,47,5,6,1,0,0,3,0,0,1,23,0,0
Chris Woodward,33,TOT,33,90,79,7,17,1,0,0,5,1,0,7,19,2,0
Chris Young,25,ARI,134,501,433,54,92,28,4,15,42,11,4,59,133,4,2
Clayton Kershaw,21,LAD,30,59,48,2,5,0,0,0,2,0,0,3,16,0,0
Clayton Richard,25,TOT,15,27,23,2,2,1,0,0,2,0,0,0,10,0,0
Clete Thomas,25,DET,102,310,275,46,66,13,3,7,39,3,0,33,77,1,0
Cliff Floyd,36,SDP,10,17,16,0,2,0,0,0,0,0,0,1,7,0,0
Cliff Lee,30,TOT,15,41,38,2,7,2,0,0,1,0,0,1,14,0,0
Cliff Pennington,25,OAK,60,229,208,27,58,11,3,4,21,7,5,19,46,1,0
Clint Barmes,30,COL,154,604,550,69,135,32,3,23,76,12,10,31,121,10,2
Clint Sammons,26,ATL,6,12,11,1,2,0,0,0,0,0,0,1,3,0,0
Coco Crisp,29,KCR,49,215,180,30,41,8,5,3,14,13,2,29,23,1,1
Cody Ransom,33,NYY,31,86,79,11,15,9,1,0,10,2,0,7,25,0,0
Cody Ross,28,FLA,151,604,559,73,151,37,1,24,90,5,2,34,122,9,1
Colby Rasmus,22,STL,147,520,474,72,119,22,2,16,52,3,1,36,95,3,3
Cole Hamels,25,PHI,30,69,61,6,9,3,0,0,5,1,0,1,29,0,0
Collin Balester,23,WSN,7,11,8,0,1,0,0,0,0,0,0,1,2,0,0
Conor Jackson,27,ARI,30,110,99,8,18,4,0,1,14,5,0,11,16,0,0
Corey Hart,27,MIL,115,472,419,64,109,24,3,12,48,11,6,43,92,6,0
Corey Patterson,29,TOT,16,30,29,0,3,0,0,0,0,2,1,0,13,0,0
Corky Miller,33,TOT,35,111,95,9,18,4,0,1,15,0,0,12,23,1,0
Cory Sullivan,29,NYM,64,157,136,17,34,2,5,2,15,7,1,19,22,0,1
Craig Counsell,38,MIL,130,459,404,61,115,22,8,4,39,3,4,42,54,6,0
Craig Gentry,25,TEX,11,19,17,4,2,1,0,0,1,0,0,2,5,0,0
Craig Monroe,32,PIT,34,87,79,8,17,2,0,3,16,0,0,7,21,1,1
Craig Stammen,25,WSN,18,37,31,1,6,3,0,0,4,0,0,2,10,0,0
Craig Tatum,26,CIN,26,77,68,3,11,1,0,1,6,0,0,7,10,1,1
Cristian Guzman,31,WSN,135,555,531,74,151,24,7,6,52,4,5,16,75,1,0
Curtis Granderson,28,DET,160,710,631,91,157,23,8,30,71,20,6,72,141,2,4
Dan Haren,28,ARI,35,87,73,6,18,5,0,1,10,0,0,3,22,0,0
Dan Uggla,29,FLA,158,668,564,84,137,27,1,31,90,2,1,92,150,7,4
Dane Sardinha,30,DET,12,34,31,1,3,1,0,0,3,0,0,0,16,0,0
Daniel Cabrera,28,TOT,15,17,12,0,0,0,0,0,0,0,0,2,10,1,0
Daniel McCutchen,26,PIT,6,12,11,1,1,0,0,0,1,0,0,1,3,0,0
Daniel Murphy,24,NYM,155,556,508,60,135,38,4,12,63,4,2,38,69,0,4
Daric Barton,23,OAK,54,192,160,31,43,12,1,3,24,0,2,26,25,2,0
Darin Erstad,35,HOU,107,150,134,13,26,8,2,2,11,0,2,14,31,0,3
Darnell McDonald,30,CIN,47,111,105,12,28,6,1,2,10,1,0,5,31,1,0
Dave Bush,29,MIL,19,40,34,2,4,0,0,0,0,0,0,4,16,0,0
David DeJesus,29,KCR,144,627,558,74,157,28,9,13,71,4,9,51,87,8,0
David Dellucci,35,TOT,22,74,65,5,12,4,0,0,3,0,0,5,19,3,1
David Eckstein,34,SDP,136,568,503,64,131,27,2,2,51,3,1,39,46,9,1
David Freese,26,STL,17,34,31,3,10,2,0,1,7,0,0,2,7,0,0
David Murphy,27,TEX,128,494,432,61,116,24,1,17,57,9,4,49,106,1,3
David Ortiz,33,BOS,150,627,541,77,129,35,1,28,99,0,2,74,134,5,5
David Ross,32,ATL,54,151,128,18,35,9,0,7,20,0,0,21,39,1,0
David Wright,26,NYM,144,618,535,88,164,39,3,10,72,27,9,74,140,3,8
Delmon Young,23,MIN,108,416,395,50,112,16,2,12,60,2,5,12,92,4,1
Delwyn Young,27,PIT,124,388,354,40,94,16,2,7,43,2,0,29,90,3,0
Denard Span,25,MIN,145,676,578,97,180,16,10,8,68,23,10,70,89,10,3
Derek Jeter,35,NYY,153,716,634,107,212,27,1,18,66,30,5,72,90,5,4
Derek Lowe,36,ATL,32,70,54,6,12,0,0,0,1,0,0,4,16,0,0
Derrek Lee,33,CHC,141,615,532,91,163,36,2,35,111,1,0,76,109,3,6
Dewayne Wise,31,CHW,84,153,142,17,32,8,3,2,11,4,5,3,27,4,0
Dexter Fowler,23,COL,135,518,433,73,115,29,10,4,34,27,10,67,116,1,1
Dioner Navarro,25,TBR,115,410,376,38,82,15,0,8,32,5,2,18,51,5,1
Diory Hernandez,25,ATL,33,93,85,6,12,3,0,1,6,0,1,6,22,0,3
Don Kelly,29,DET,31,62,56,8,14,3,1,0,3,1,0,4,10,1,0
Doug Davis,33,ARI,32,69,63,2,10,1,1,0,3,0,0,0,21,0,0
Doug Mientkiewicz,35,LAD,20,20,18,0,6,1,0,0,3,0,0,1,6,1,0
Drew Macias,26,SDP,51,90,76,8,15,6,0,1,7,0,1,13,15,1,1
Drew Stubbs,24,CIN,42,196,180,27,48,5,1,8,17,10,4,15,49,0,0
Drew Sutton,26,CIN,42,76,66,10,14,4,1,1,9,0,2,7,20,1,0
Dustin Pedroia,25,BOS,154,714,626,115,185,48,1,15,72,20,8,74,45,5,3
Dusty Ryan,24,DET,12,30,26,1,4,1,0,0,4,0,1,4,12,0,0
Edgar Gonzalez,31,SDP,82,169,153,16,33,8,2,4,18,1,2,11,36,3,0
Edgar Renteria,32,SFG,124,510,460,50,115,19,1,5,48,7,2,39,69,1,5
Edinson Volquez,25,CIN,9,19,16,0,1,0,0,0,0,0,0,0,8,0,0
Edwin Encarnacion,26,TOT,85,338,293,35,66,11,2,13,39,2,1,37,67,5,0
Edwin Maysonet,27,HOU,39,79,69,9,20,2,0,1,7,0,0,5,19,0,0
Eli Whiteside,29,SFG,49,134,127,15,29,6,1,2,13,0,0,4,30,3,1
Eliezer Alfonzo,30,SDP,37,117,114,6,20,3,0,2,8,0,0,3,34,0,0
Elijah Dukes,25,WSN,107,416,364,38,91,20,4,8,58,3,10,46,74,3,2
Elvis Andrus,20,TEX,145,541,480,72,128,17,8,6,40,33,6,40,77,6,0
Emilio Bonifacio,24,FLA,127,509,461,72,116,11,6,1,27,21,9,34,95,2,0
Emmanuel Burriss,24,SFG,61,220,202,18,48,6,0,0,13,11,4,14,34,2,1
Endy Chavez,31,SEA,54,182,161,17,44,3,1,2,13,9,1,14,22,0,1
Eric Bruntlett,31,PHI,72,118,105,15,18,7,0,0,7,2,0,5,26,3,0
Eric Byrnes,33,ARI,84,258,239,26,54,14,1,8,31,9,3,12,30,3,0
Eric Chavez,31,OAK,8,31,30,0,3,1,0,0,1,0,0,1,7,0,0
Eric Hinske,31,TOT,93,224,190,31,46,12,0,8,25,1,0,27,52,5,1
Eric Milton,33,LAD,6,11,8,0,0,0,0,0,0,0,0,0,3,1,0
Eric Patterson,26,OAK,39,110,94,15,27,5,1,1,11,6,1,14,25,0,0
Eric Stults,29,LAD,11,21,15,1,1,0,0,0,2,0,0,3,8,0,0
Eric Young Jr.,24,COL,30,61,57,7,14,1,0,1,1,4,4,4,12,0,0
Erick Aybar,25,LAA,137,556,504,70,157,23,9,5,58,14,7,30,54,5,1
Esteban German,31,TEX,19,50,46,9,14,4,0,0,4,1,0,4,7,0,0
Eugenio Velez,27,SFG,84,307,285,40,76,13,5,5,31,11,5,16,55,2,1
Evan Longoria,23,TBR,157,671,584,100,164,44,0,33,113,9,0,72,140,8,11
Everth Cabrera,22,SDP,103,438,377,59,96,18,8,2,31,25,8,46,88,5,5
Felipe Lopez,29,TOT,151,680,604,88,187,38,3,9,57,6,6,71,100,2,4
Felipe Paulino,25,HOU,23,28,25,0,1,0,0,0,0,0,0,0,16,0,0
Felix Pie,24,BAL,101,281,252,38,67,10,3,9,29,1,3,24,58,0,1
Fernando Martinez,20,NYM,29,100,91,11,16,6,0,1,8,2,0,5,14,3,0
Fernando Perez,26,TBR,18,35,34,4,7,0,0,0,2,0,2,0,11,0,0
Fernando Tatis,34,NYM,125,379,340,42,96,21,4,8,48,4,1,22,54,9,3
Francisco Cervelli,23,NYY,42,101,94,13,28,4,0,1,11,0,3,2,11,0,0
Frank Catalanotto,35,MIL,77,162,144,18,40,6,3,1,9,2,0,14,23,2,5
Franklin Gutierrez,26,SEA,153,629,565,85,160,24,1,18,70,16,5,46,122,3,3
Fred Lewis,28,SFG,122,336,295,49,76,21,3,4,20,8,4,36,84,5,3
Freddy Sanchez,31,TOT,111,489,457,56,134,29,3,7,41,5,1,22,76,2,4
Gabe Gross,29,TBR,115,326,282,31,64,16,1,6,36,6,3,42,79,0,1
Gabe Kapler,33,TBR,99,238,205,26,49,15,1,8,32,5,2,29,39,0,1
Gaby Sanchez,25,FLA,21,23,21,2,5,0,0,2,3,0,0,2,3,0,0
Garret Anderson,37,ATL,135,534,496,52,133,27,0,13,61,1,0,27,73,2,2
Garrett Atkins,29,COL,126,399,354,37,80,12,1,9,48,0,0,41,58,2,2
Garrett Jones,28,PIT,82,358,314,45,92,21,1,21,44,10,2,40,76,1,8
Garrett Mock,26,WSN,28,26,23,1,2,0,0,0,0,0,0,0,13,0,0
Gary Matthews,34,LAA,103,360,316,44,79,19,2,4,50,4,1,40,74,2,2
Gary Sheffield,40,NYM,100,312,268,44,74,13,2,10,43,2,1,40,46,2,3
Geoff Blum,36,HOU,120,427,381,34,94,14,1,10,49,0,1,33,61,7,4
George Kottaras,26,BOS,45,107,93,15,22,11,0,1,10,0,0,11,25,0,0
Geovany Soto,26,CHC,102,389,331,27,72,19,1,11,47,1,0,50,77,3,3
Gerald Laird,29,DET,135,477,413,49,93,23,2,4,33,5,0,40,68,10,0
Gerardo Parra,22,ARI,120,491,455,59,132,21,8,5,60,5,7,25,89,1,1
Gordon Beckham,22,CHW,103,430,378,58,102,28,1,14,63,7,4,41,65,6,0
Grady Sizemore,26,CLE,106,503,436,73,108,20,6,18,64,13,8,60,92,4,1
Greg Dobbs,30,PHI,97,169,154,15,38,6,0,5,20,1,0,11,29,1,1
Greg Norton,36,ATL,95,97,76,3,11,2,0,0,7,0,0,20,20,1,0
Gregg Zaun,38,TOT,90,296,262,34,68,17,0,8,27,0,2,31,48,3,0
Gregor Blanco,25,ATL,24,48,43,5,8,0,1,0,1,2,0,4,9,0,0
Gregorio Petit,24,OAK,11,31,31,2,7,1,0,0,1,0,0,0,6,0,0
Guillermo Quiroz,27,SEA,4,15,14,0,4,0,0,0,2,0,0,0,3,0,0
Hank Blalock,28,TEX,123,495,462,62,108,21,4,25,66,2,0,26,108,3,2
Hanley Ramirez,25,FLA,151,652,576,101,197,42,1,24,106,27,8,61,101,9,14
Henry Blanco,37,SDP,67,232,204,21,48,12,0,6,16,0,0,26,50,0,2
Hernan Iribarren,25,MIL,12,14,13,1,3,2,0,0,1,0,0,1,5,0,0
Hideki Matsui,35,NYY,142,528,456,62,125,21,1,28,90,0,1,64,75,4,1
Hiroki Kuroda,34,LAD,19,39,28,1,4,0,0,0,0,0,0,2,11,0,0
Homer Bailey,23,CIN,21,43,38,0,3,0,0,0,2,0,0,0,17,0,0
Howie Kendrick,25,LAA,105,400,374,61,109,21,3,10,61,11,4,20,71,4,1
Humberto Quintero,29,HOU,60,168,157,11,37,8,1,4,14,0,0,7,41,4,1
Hunter Pence,26,HOU,159,647,585,76,165,26,5,25,72,14,11,58,109,1,1
Ian Desmond,23,WSN,21,89,82,9,23,7,2,4,12,1,0,5,14,0,0
Ian Kinsler,27,TEX,144,640,566,101,143,32,4,31,86,31,5,59,77,6,0
Ian Snell,27,TOT,15,27,23,0,4,0,0,0,1,0,0,0,10,0,0
Ian Stewart,24,COL,147,491,425,74,97,19,3,25,70,7,4,56,138,5,3
Ichiro Suzuki,35,SEA,146,678,639,88,225,31,4,11,46,26,9,32,71,4,15
Ivan Rodriguez,37,TOT,121,448,425,55,106,23,2,10,47,1,2,18,92,1,0
J.A. Happ,26,PHI,33,51,43,2,4,1,0,0,1,0,0,1,15,0,0
J.D. Drew.01,33,BOS,137,539,452,84,126,30,4,24,68,2,6,82,109,3,5
J.D. Martin,26,WSN,16,28,25,3,4,0,0,0,0,0,0,1,13,0,0
J.J. Hardy,26,MIL,115,465,414,53,95,16,2,11,47,0,1,43,85,2,0
J.R. Towles,25,HOU,16,53,48,7,9,2,0,2,3,0,0,3,16,1,1
Jack Cust,30,OAK,149,612,513,88,123,16,0,25,70,4,1,93,185,2,5
Jack Hannahan,29,TOT,103,301,267,27,57,14,2,4,19,1,1,30,71,2,0
Jack Wilson,31,TOT,106,402,373,37,95,23,1,5,39,3,1,21,48,0,2
Jacoby Ellsbury,25,BOS,153,693,624,94,188,27,10,8,60,70,12,49,74,6,3
Jair Jurrjens,23,ATL,35,80,65,7,8,2,0,0,4,0,0,8,24,0,0
Jake Fox,26,CHC,82,241,216,23,56,12,0,11,44,0,0,14,47,5,1
Jake Peavy,28,TOT,13,28,23,2,2,0,0,0,0,0,0,1,4,0,0
James Loney,25,LAD,158,652,576,73,162,25,2,13,90,7,3,70,68,0,10
Jamey Carroll,35,CLE,93,358,315,53,87,10,2,2,26,4,2,36,63,3,0
Jamie Burke,37,TOT,19,56,51,1,6,0,0,1,2,0,0,3,18,0,0
Jamie Hoffmann,24,LAD,14,24,22,2,4,2,0,1,7,0,0,0,5,0,0
Jamie Moyer,46,PHI,28,59,42,2,5,0,0,0,2,0,0,6,21,1,0
Jarrett Hoffpauir,26,STL,8,16,12,1,3,2,0,0,2,0,0,4,2,0,0
Jarrod Saltalamacchia,24,TEX,84,310,283,34,66,12,0,9,34,0,2,22,97,1,1
Jason Bartlett,29,TBR,137,567,500,90,160,29,7,14,66,30,7,54,89,5,2
Jason Bay,30,BOS,151,638,531,103,142,29,3,36,119,13,3,94,162,9,4
Jason Bourgeois,27,MIL,24,40,37,6,7,0,0,1,3,3,0,3,7,0,0
Jason Giambi,38,TOT,102,359,293,43,59,14,0,13,51,0,0,57,80,7,1
Jason Hammel,26,COL,32,60,55,1,6,1,0,0,0,0,0,2,25,0,0
