Player,Age,Games,Starts,Tgt,Receiving,RecYrds,Yrds/Rec,RecTD,Rec1D,RecLg,Rec/G,RecY/G,Ctch%,Att,Yds,TD,1D,Lng,Yrds/Att,Yards/G,Att/G,Fmb
Ray Rice 2013,26,15,15,72,58,321,5.5,0,13,22,3.9,21.4,0.806,214,660,4,28,47,3.1,44,14.3,2
Bilal Powell 2013,25,16,11,57,36,272,7.6,0,15,36,2.3,17,0.632,176,697,1,36,39,4,43.6,11,1
Ben Tate 2013,25,14,7,49,34,140,4.1,0,2,10,2.4,10,0.694,181,771,4,37,60,4.3,55.1,12.9,5
Lamar Miller 2013,22,16,15,35,26,170,6.5,0,6,22,1.6,10.6,0.743,177,709,2,27,49,4,44.3,11.1,1
Chris Ivory 2013,25,15,6,7,2,10,5,0,1,12,0.1,0.7,0.286,182,833,3,35,69,4.6,55.5,12.1,2
Stevan Ridley 2013,24,14,6,12,10,62,6.2,0,2,24,0.7,4.4,0.833,178,773,7,40,29,4.3,55.2,12.7,4
Darren Sproles 2013,30,15,4,89,71,604,8.5,2,25,48,4.7,40.3,0.798,53,220,2,13,38,4.2,14.7,3.5,2
Rashard Mendenhall 2013,26,15,15,21,18,134,7.4,0,5,24,1.2,8.9,0.857,217,687,8,45,28,3.2,45.8,14.5,4
LeGarrette Blount 2013,27,16,7,5,2,38,19,0,1,32,0.1,2.4,0.4,153,772,7,37,47,5,48.3,9.6,3
BenJarvus Green-Ellis 2013,28,16,16,8,4,22,5.5,0,1,10,0.3,1.4,0.5,220,756,7,49,25,3.4,47.3,13.8,2
Donald Brown 2013,26,16,5,35,27,214,7.9,2,10,33,1.7,13.4,0.771,102,537,6,21,51,5.3,33.6,6.4,1
Steven Jackson 2013,30,12,12,49,33,191,5.8,1,11,25,2.8,15.9,0.673,157,543,6,26,50,3.5,45.3,13.1,0
Arian Foster 2013,27,8,8,35,22,183,8.3,1,6,41,2.8,22.9,0.629,121,542,1,31,23,4.5,67.8,15.1,0
Jacquizz Rodgers 2013,23,15,4,63,52,341,6.6,2,12,22,3.5,22.7,0.825,96,332,2,19,19,3.5,22.1,6.4,1
Andre Brown 2013,27,8,8,29,20,103,5.2,0,3,14,2.5,12.9,0.69,139,492,3,31,23,3.5,61.5,17.4,3
Chris Ogbonnaya 2013,27,16,7,74,48,343,7.1,2,15,17,3,21.4,0.649,49,240,0,14,43,4.9,15,3.1,2
Marcel Reece 2013,28,16,15,54,32,331,10.3,2,12,45,2,20.7,0.593,46,218,2,8,63,4.7,13.6,2.9,0
Mike Tolbert 2013,28,16,13,33,27,184,6.8,2,12,18,1.7,11.5,0.818,101,361,5,32,22,3.6,22.6,6.3,0
Bernard Pierce 2013,22,16,1,25,20,104,5.2,0,3,15,1.3,6.5,0.8,152,436,2,23,28,2.9,27.3,9.5,0
Doug Martin 2013,24,6,6,24,12,66,5.5,0,1,13,2,11,0.5,127,456,1,18,28,3.6,76,21.2,2
Darren McFadden 2013,26,10,7,25,17,108,6.4,0,4,16,1.7,10.8,0.68,114,379,5,17,30,3.3,37.9,11.4,1
Willis McGahee 2013,32,12,6,11,8,20,2.5,0,0,9,0.7,1.7,0.727,138,377,2,31,16,2.7,31.4,11.5,1
Bruce Miller 2013,26,14,13,36,25,243,9.7,0,12,43,1.8,17.4,0.694,7,13,0,3,4,1.9,0.9,0.5,1
Anthony Sherman 2013,25,16,8,24,18,155,8.6,1,8,26,1.1,9.7,0.75,2,3,0,1,2,1.5,0.2,0.1,1
Stanley Havili 2013,26,13,8,21,18,128,7.1,1,6,20,1.4,9.8,0.857,7,7,0,1,4,1,0.5,0.5,0
Tommy Bohanon 2013,23,16,8,16,11,69,6.3,0,4,21,0.7,4.3,0.688,17,62,0,4,8,3.6,3.9,1.1,0
Frank Summers 2013,28,15,9,8,7,79,11.3,1,5,34,0.5,5.3,0.875,12,46,1,3,16,3.8,3.1,0.8,0
John Kuhn 2013,31,15,6,19,13,81,6.2,0,2,20,0.9,5.4,0.684,10,38,1,7,12,3.8,2.5,0.7,2
Cory Harkey 2013,23,15,10,18,13,113,8.7,2,7,31,0.9,7.5,0.722,,,,0,,,,,0
Darrel Young 2013,26,13,7,9,4,71,17.8,1,1,62,0.3,5.5,0.444,12,41,3,7,19,3.4,3.2,0.9,0
Jed Collins 2013,27,16,8,17,14,54,3.9,0,3,8,0.9,3.4,0.824,15,45,1,9,12,3,2.8,0.9,0
Vonta Leach 2013,32,16,7,20,11,47,4.3,1,3,12,0.7,2.9,0.55,11,23,0,2,6,2.1,1.4,0.7,1
Rhett Ellison 2013,25,11,6,10,5,61,12.2,1,4,17,0.5,5.5,0.5,,,,0,,,,,0
Patrick DiMarco 2013,24,14,7,10,8,49,6.1,0,1,12,0.6,3.5,0.8,,,,0,,,,,0
Erik Lorig 2013,27,15,9,14,11,47,4.3,0,2,20,0.7,3.1,0.786,,,,0,,,,,0
Will Johnson 2013,24,15,5,11,8,41,5.1,1,3,9,0.5,2.7,0.727,,,,0,,,,,0
Will Ta'ufo'ou 2013,27,16,7,15,10,40,4,0,2,11,0.6,2.5,0.667,1,1,0,0,1,1,0.1,0.1,0
Jerome Felton 2013,27,13,9,8,6,37,6.2,0,3,11,0.5,2.8,0.75,,,,0,,,,,0
Greg Jones 2013,32,16,5,11,5,34,6.8,0,1,19,0.3,2.1,0.455,2,2,0,0,4,1,0.1,0.1,0
John Conner 2013,26,13,7,11,6,31,5.2,0,2,12,0.5,2.4,0.545,,,,0,,,,,0
