Player,Age,Games,Starts,Tgt,Receiving,RecYrds,Yrds/Rec,RecTD,Rec1D,RecLg,Rec/G,RecY/G,Ctch%,Att,Yds,TD,1D,Lng,Yrds/Att,Yards/G,Att/G,Fmb
LeSean McCoy 2013,25,16,16,64,52,539,10.4,2,24,70,3.3,33.7,0.813,314,1607,9,79,57,5.1,100.4,19.6,1
Jamaal Charles 2013,27,15,15,104,70,693,9.9,7,32,71,4.7,46.2,0.673,259,1287,12,72,46,5,85.8,17.3,4
Matt Forte 2013,28,16,16,95,74,594,8,3,26,34,4.6,37.1,0.779,289,1339,9,73,55,4.6,83.7,18.1,2
Knowshon Moreno 2013,26,16,15,74,60,548,9.1,3,30,35,3.8,34.3,0.811,241,1038,10,56,31,4.3,64.9,15.1,2
Marshawn Lynch 2013,27,16,16,44,36,316,8.8,2,12,55,2.3,19.8,0.818,301,1257,12,73,43,4.2,78.6,18.8,4
Reggie Bush 2013,28,14,14,80,54,506,9.4,3,22,77,3.9,36.1,0.675,223,1006,4,49,39,4.5,71.9,15.9,5
DeMarco Murray 2013,25,14,14,66,53,350,6.6,1,18,22,3.8,25,0.803,217,1121,9,65,43,5.2,80.1,15.5,3
Ryan Mathews 2013,26,16,14,33,26,189,7.3,1,9,17,1.6,11.8,0.788,285,1255,6,55,51,4.4,78.4,17.8,2
Adrian Peterson 2013,28,14,14,40,29,171,5.9,1,11,22,2.1,12.2,0.725,279,1266,10,61,78,4.5,90.4,19.9,5
Eddie Lacy 2013,23,15,15,44,35,257,7.3,0,12,34,2.3,17.1,0.795,284,1178,11,63,60,4.1,78.5,18.9,1
Chris Johnson 2013,28,16,16,52,42,345,8.2,4,11,66,2.6,21.6,0.808,279,1077,6,57,30,3.9,67.3,17.4,3
Alfred Morris 2013,25,16,16,12,9,78,8.7,0,2,17,0.6,4.9,0.75,276,1275,7,61,45,4.6,79.7,17.3,5
Fred Jackson 2013,32,16,6,65,47,387,8.2,1,17,37,2.9,24.2,0.723,206,890,9,54,59,4.3,55.6,12.9,3
Frank Gore 2013,30,16,16,27,16,141,8.8,0,5,29,1,8.8,0.593,276,1128,9,50,51,4.1,70.5,17.3,3
Le'Veon Bell 2013,21,13,13,66,45,399,8.9,0,15,43,3.5,30.7,0.682,244,860,8,53,43,3.5,66.2,18.8,1
Joique Bell 2013,27,16,4,69,53,547,10.3,0,23,37,3.3,34.2,0.768,166,650,8,43,20,3.9,40.6,10.4,4
DeAngelo Williams 2013,30,15,15,36,26,333,12.8,1,10,72,1.7,22.2,0.722,201,843,3,36,43,4.2,56.2,13.4,3
C.J. Spiller 2013,26,15,10,41,33,185,5.6,0,7,27,2.2,12.3,0.805,202,933,2,27,77,4.6,62.2,13.5,4
Maurice Jones-Drew 2013,28,15,15,60,43,314,7.3,0,13,17,2.9,20.9,0.717,234,803,5,46,48,3.4,53.5,15.6,1
Zac Stacy 2013,22,14,12,35,26,141,5.4,1,8,25,1.9,10.1,0.743,250,973,7,48,40,3.9,69.5,17.9,1
Pierre Thomas 2013,29,16,9,84,77,513,6.7,3,21,29,4.8,32.1,0.917,147,549,2,32,18,3.7,34.3,9.2,2
Rashad Jennings 2013,28,15,8,48,36,292,8.1,0,12,24,2.4,19.5,0.75,163,733,6,35,80,4.5,48.9,10.9,0
