"Player","MP","FG","FGA","X2P","X2PA","X3P","X3PA","FT","FTA","ORB","DRB","TRB","AST","STL","BLK","TOV","PF"
"Anthony",38,7,15,7,13,0,2,3,5,0,9,9,1,0,2,2,1
"McNamara",33,4,9,1,3,3,6,0,0,0,4,4,4,2,0,2,4
"Duany",28,3,5,2,2,1,3,2,2,1,6,7,4,0,1,2,3
"Warrick",16,3,6,3,6,0,0,4,4,1,4,5,1,0,2,3,1
"Forth",15,0,1,0,1,0,0,0,0,2,1,3,2,1,1,1,1
"Edelin",29,6,9,6,9,0,0,3,4,1,1,2,2,2,0,5,1
"McNeil",24,3,3,3,3,0,0,0,0,1,3,4,0,0,3,1,4
"Pace",17,4,4,4,4,0,0,0,0,1,0,1,2,0,0,2,2
