Tm,W,L,R,RA
TEX,95,67,4.7,4.7
CLE,94,67,4.8,4.2
BOS,93,69,5.4,4.3
BAL,89,73,4.6,4.4
TOR,89,73,4.7,4.1
DET,86,75,4.7,4.5
SEA,86,76,4.7,4.4
HOU,84,78,4.5,4.3
NYY,84,78,4.2,4.3
KCR,81,81,4.2,4.4
CHW,78,84,4.2,4.4
LAA,74,88,4.4,4.5
OAK,69,93,4,4.7
TBR,68,94,4.1,4.4
MIN,59,103,4.5,5.5
