Player,Age,Games,Starts,Tgt,Receiving,RecYrds,Yrds/Rec,RecTD,Rec1D,RecLg,Rec/G,RecY/G,Ctch%,Att,Yds,TD,1D,Lng,Yrds/Att,Yards/G,Att/G,Fmb
David Johnson 2016,25,16,16,120,80,879,11,4,42,58,5,54.9,0.667,293,1239,16,73,58,4.2,77.4,18.3,5
Ezekiel Elliott 2016,21,15,15,39,32,363,11.3,1,11,83,2.1,24.2,0.821,322,1631,15,95,60,5.1,108.7,21.5,5
Le'Veon Bell 2016,24,12,12,94,75,616,8.2,2,32,32,6.3,51.3,0.798,261,1268,7,70,44,4.9,105.7,21.8,4
DeMarco Murray 2016,28,16,16,67,53,377,7.1,3,20,35,3.3,23.6,0.791,293,1287,9,67,75,4.4,80.4,18.3,3
LeSean McCoy 2016,28,15,15,57,50,356,7.1,1,17,41,3.3,23.7,0.877,234,1267,13,56,75,5.4,84.5,15.6,3
Jordan Howard 2016,22,15,13,50,29,298,10.3,1,12,34,1.9,19.9,0.58,252,1313,6,73,69,5.2,87.5,16.8,2
Devonta Freeman 2016,24,16,16,65,54,462,8.6,2,22,35,3.4,28.9,0.831,227,1079,11,66,75,4.8,67.4,14.2,1
Jay Ajayi 2016,23,15,12,35,27,151,5.6,0,8,15,1.8,10.1,0.771,260,1272,8,63,62,4.9,84.8,17.3,4
Melvin Gordon 2016,23,13,11,57,41,419,10.2,2,21,35,3.2,32.2,0.719,254,997,10,62,48,3.9,76.7,19.5,2
Spencer Ware 2016,25,14,14,42,33,447,13.5,2,17,46,2.4,31.9,0.786,214,921,3,50,46,4.3,65.8,15.3,4
Mark Ingram 2016,27,16,14,58,46,319,6.9,4,18,22,2.9,19.9,0.793,205,1043,6,50,75,5.1,65.2,12.8,2
Frank Gore 2016,33,16,16,47,38,277,7.3,4,14,49,2.4,17.3,0.809,263,1025,4,50,22,3.9,64.1,16.4,2
Isaiah Crowell 2016,23,16,16,53,40,319,8,0,14,44,2.5,19.9,0.755,198,952,7,45,85,4.8,59.5,12.4,2
Lamar Miller 2016,25,14,14,39,31,188,6.1,1,9,16,2.2,13.4,0.795,268,1073,5,55,45,4,76.6,19.1,2
Todd Gurley 2016,22,16,16,58,43,327,7.6,0,16,33,2.7,20.4,0.741,278,885,6,49,24,3.2,55.3,17.4,2
LeGarrette Blount 2016,30,16,8,8,7,38,5.4,0,1,16,0.4,2.4,0.875,299,1161,18,68,44,3.9,72.6,18.7,2
Carlos Hyde 2016,26,13,13,33,27,163,6,3,7,19,2.1,12.5,0.818,217,988,6,48,47,4.6,76,16.7,5
Bilal Powell 2016,28,16,4,74,58,388,6.7,2,21,22,3.6,24.3,0.784,131,722,3,44,35,5.5,45.1,8.2,1
Matt Forte 2016,31,14,13,43,30,263,8.8,1,10,40,2.1,18.8,0.698,218,813,7,36,32,3.7,58.1,15.6,1
Latavius Murray 2016,26,14,12,43,33,264,8,0,11,39,2.4,18.9,0.767,195,788,12,52,42,4,56.3,13.9,2
Jeremy Hill 2016,24,15,13,27,21,174,8.3,0,6,25,1.4,11.6,0.778,222,839,9,46,74,3.8,55.9,14.8,0
Terrance West 2016,25,16,13,45,34,236,6.9,1,11,17,2.1,14.8,0.756,193,774,5,38,41,4,48.4,12.1,2
Jonathan Stewart 2016,29,13,13,21,8,60,7.5,0,1,25,0.6,4.6,0.381,218,824,9,49,47,3.8,63.4,16.8,3
Devontae Booker 2016,24,16,6,45,31,265,8.5,1,8,43,1.9,16.6,0.689,174,612,4,31,18,3.5,38.3,10.9,4
Duke Johnson 2016,23,16,1,74,53,514,9.7,0,24,32,3.3,32.1,0.716,73,358,1,18,22,4.9,22.4,4.6,2
Darren Sproles 2016,33,15,5,71,52,427,8.2,2,19,73,3.5,28.5,0.732,94,438,2,22,25,4.7,29.2,6.3,1
Ty Montgomery 2016,23,15,6,56,44,348,7.9,0,20,24,2.9,23.2,0.786,77,457,3,20,61,5.9,30.5,5.1,2
Rashad Jennings 2016,31,13,12,42,35,201,5.7,1,8,24,2.7,15.5,0.833,181,593,3,29,25,3.3,45.6,13.9,1
Jerick McKinnon 2016,24,15,7,53,43,255,5.9,2,17,41,2.9,17,0.811,159,539,2,21,36,3.4,35.9,10.6,0
Robert Kelley 2016,24,15,9,18,12,82,6.8,1,6,22,0.8,5.5,0.667,168,704,6,30,66,4.2,46.9,11.2,0
T.J. Yeldon 2016,23,15,13,68,50,312,6.2,1,16,17,3.3,20.8,0.735,130,465,1,21,16,3.6,31,8.7,2
Ryan Mathews 2016,29,13,8,14,13,115,8.8,1,7,27,1,8.8,0.929,155,661,8,40,30,4.3,50.8,11.9,3
