Player,Age,Games,Starts,Tgt,Receiving,RecYrds,Yrds/Rec,RecTD,Rec1D,RecLg,Rec/G,RecY/G,Ctch%,Att,Yds,TD,1D,Lng,Yrds/Att,Yards/G,Att/G,Fmb
Theo Riddick 2016,25,10,8,67,53,371,7,5,20,23,5.3,37.1,0.791,92,357,1,21,42,3.9,35.7,9.2,0
James White 2016,24,16,4,86,60,551,9.2,5,26,61,3.8,34.4,0.698,39,166,0,8,16,4.3,10.4,2.4,0
Matt Asiata 2016,29,16,6,38,32,263,8.2,0,9,31,2,16.4,0.842,121,402,6,28,29,3.3,25.1,7.6,1
Jacquizz Rodgers 2016,26,10,5,16,13,98,7.5,0,3,21,1.3,9.8,0.813,129,560,2,31,45,4.3,56,12.9,0
C.J. Anderson 2016,25,7,7,24,16,128,8,1,6,25,2.3,18.3,0.667,110,437,4,23,28,4,62.4,15.7,0
Doug Martin 2016,27,8,8,16,14,134,9.6,0,4,27,1.8,16.8,0.875,144,421,3,24,17,2.9,52.6,18,1
Matt Jones 2016,23,7,7,8,8,73,9.1,0,4,16,1.1,10.4,1,99,460,3,28,57,4.6,65.7,14.1,3
Thomas Rawls 2016,23,9,7,17,13,96,7.4,0,4,20,1.4,10.7,0.765,109,349,3,22,45,3.2,38.8,12.1,0
Eddie Lacy 2016,26,5,5,7,4,28,7,0,1,17,0.8,5.6,0.571,71,360,0,15,31,5.1,72,14.2,0
Dion Lewis 2016,26,7,5,24,17,94,5.5,0,4,16,2.4,13.4,0.708,64,283,0,14,15,4.4,40.4,9.1,1
Kyle Juszczyk 2016,25,16,7,49,37,266,7.2,0,12,40,2.3,16.6,0.755,5,22,1,3,10,4.4,1.4,0.3,0
Jamize Olawale 2016,27,16,7,14,12,227,18.9,1,5,75,0.8,14.2,0.857,17,47,2,5,17,2.8,2.9,1.1,0
Aaron Ripkowski 2016,24,16,8,10,9,46,5.1,1,2,9,0.6,2.9,0.9,34,150,2,12,15,4.4,9.4,2.1,0
Nick O'Leary 2016,24,16,7,14,9,114,12.7,0,5,28,0.6,7.1,0.643,,,,0,,,,,0
Andy Janovich 2016,23,11,5,7,5,44,8.8,0,4,13,0.5,4,0.714,4,33,1,2,28,8.3,3,0.4,0
Patrick DiMarco 2016,27,16,8,10,7,52,7.4,1,3,18,0.4,3.3,0.7,,,,0,,,,,0
Jalston Fowler 2016,26,16,6,2,1,14,14,0,1,14,0.1,0.9,0.5,1,3,0,0,3,3,0.2,0.1,0
