"Player","MP","FG","FGA","X2P","X2PA","X3P","X3PA","FT","FTA","ORB","DRB","TRB","AST","STL","BLK","TOV","PF"
"McNamara",37,2,6,1,2,1,4,4,5,1,1,2,3,0,0,0,2
"Anthony",34,7,17,5,13,2,4,2,3,4,4,8,3,2,1,2,2
"Duany",26,3,9,1,3,2,6,4,4,1,4,5,0,1,0,1,0
"Warrick",25,6,12,6,12,0,0,3,4,2,2,4,1,3,0,2,5
"Forth",12,0,1,0,1,0,0,0,0,1,0,1,1,1,2,0,2
"McNeil",27,3,6,3,6,0,0,0,0,4,3,7,0,0,4,2,3
"Pace",22,7,13,7,13,0,0,0,1,1,1,2,2,1,0,0,1
"Edelin",17,1,2,1,2,0,0,3,4,1,5,6,4,1,0,3,2
