Tm,W,L,R,RA
HOU,107,55,5.7,4
NYY,103,59,5.8,4.6
MIN,101,61,5.8,4.7
OAK,97,65,5.2,4.2
TBR,96,66,4.7,4
CLE,93,69,4.7,4.1
BOS,84,78,5.6,5.1
TEX,78,84,5,5.4
CHW,72,89,4.4,5.2
LAA,72,90,4.7,5.4
SEA,68,94,4.7,5.5
TOR,67,95,4.5,5.1
KCR,59,103,4.3,5.4
BAL,54,108,4.5,6.1
DET,47,114,3.6,5.7
