Tm,W,L,R,RA
BOS,108,54,5.4,4
HOU,103,59,4.9,3.3
NYY,100,62,5.3,4.1
OAK,97,65,5,4.2
CLE,91,71,5,4
TBR,90,72,4.4,4
SEA,89,73,4.2,4.4
LAA,80,82,4.5,4.5
MIN,78,84,4.6,4.8
TOR,73,89,4.4,5.1
TEX,67,95,4.5,5.2
DET,64,98,3.9,4.9
CHW,62,100,4,5.2
KCR,58,104,3.9,5.1
BAL,47,115,3.8,5.5
