season,Rk,Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Trp-Dbl,Awards
2010,1.0,Kevin Durant,21.0,OKC,SF,82.0,82.0,3239.0,794.0,1668.0,0.476,128.0,351.0,0.365,666.0,1317.0,0.506,0.514,756.0,840.0,0.9,105.0,518.0,623.0,231.0,112.0,84.0,271.0,171.0,2472.0,0.0,"MVP-2,AS,NBA1"
2010,2.0,LeBron James,25.0,CLE,SF,76.0,76.0,2966.0,768.0,1528.0,0.503,129.0,387.0,0.333,639.0,1141.0,0.56,0.545,593.0,773.0,0.767,71.0,483.0,554.0,651.0,125.0,77.0,261.0,119.0,2258.0,4.0,"MVP-1,DPOY-4,AS,NBA1,DEF1"
2010,3.0,Dwyane Wade,28.0,MIA,SG,77.0,77.0,2792.0,719.0,1511.0,0.476,73.0,243.0,0.3,646.0,1268.0,0.509,0.5,534.0,702.0,0.761,107.0,266.0,373.0,501.0,142.0,82.0,252.0,181.0,2045.0,0.0,"MVP-5,DPOY-10,AS,NBA1,DEF2"
2010,4.0,Dirk Nowitzki,31.0,DAL,PF,81.0,80.0,3039.0,720.0,1496.0,0.481,51.0,121.0,0.421,669.0,1375.0,0.487,0.498,536.0,586.0,0.915,80.0,540.0,620.0,218.0,70.0,79.0,149.0,208.0,2027.0,1.0,"MVP-7,AS,NBA2"
2010,5.0,Kobe Bryant,31.0,LAL,SG,73.0,73.0,2835.0,716.0,1569.0,0.456,99.0,301.0,0.329,617.0,1268.0,0.487,0.488,439.0,541.0,0.811,78.0,313.0,391.0,365.0,113.0,20.0,233.0,187.0,1970.0,0.0,"MVP-3,DPOY-12,AS,NBA1,DEF1"
2010,6.0,Carmelo Anthony,25.0,DEN,SF,69.0,69.0,2634.0,688.0,1502.0,0.458,59.0,187.0,0.316,629.0,1315.0,0.478,0.478,508.0,612.0,0.83,152.0,302.0,454.0,222.0,88.0,30.0,209.0,225.0,1943.0,0.0,"MVP-6,AS,NBA2"
2010,7.0,Amar'e Stoudemire,27.0,PHO,PF,82.0,82.0,2838.0,704.0,1264.0,0.557,1.0,6.0,0.167,703.0,1258.0,0.559,0.557,487.0,632.0,0.771,230.0,502.0,732.0,82.0,52.0,83.0,213.0,281.0,1896.0,0.0,"MVP-10,AS,NBA2"
2010,8.0,Zach Randolph,28.0,MEM,PF,81.0,81.0,3051.0,652.0,1336.0,0.488,15.0,52.0,0.288,637.0,1284.0,0.496,0.494,362.0,465.0,0.778,330.0,620.0,950.0,149.0,80.0,34.0,174.0,226.0,1681.0,0.0,AS
2010,9.0,Chris Bosh,25.0,TOR,C,70.0,70.0,2526.0,600.0,1158.0,0.518,8.0,22.0,0.364,592.0,1136.0,0.521,0.522,470.0,590.0,0.797,205.0,554.0,759.0,166.0,43.0,68.0,169.0,170.0,1678.0,0.0,"MVP-12,AS"
2010,10.0,Stephen Jackson,31.0,2TM,SG,81.0,81.0,3129.0,600.0,1418.0,0.423,129.0,393.0,0.328,471.0,1025.0,0.46,0.469,338.0,434.0,0.779,78.0,323.0,401.0,300.0,132.0,43.0,259.0,197.0,1667.0,0.0,MVP-12
