season,Rk,Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Trp-Dbl,Awards
2011,265.0,Steve Blake,30.0,LAL,PG,79.0,0.0,1581.0,110.0,306.0,0.359,73.0,193.0,0.378,37.0,113.0,0.327,0.479,26.0,30.0,0.867,19.0,137.0,156.0,170.0,40.0,3.0,73.0,99.0,319.0,0.0,
2011,266.0,Carlos Arroyo,31.0,2TM,PG,64.0,43.0,1185.0,120.0,273.0,0.44,31.0,69.0,0.449,89.0,204.0,0.436,0.496,39.0,47.0,0.83,20.0,83.0,103.0,125.0,21.0,1.0,60.0,71.0,310.0,0.0,
2011,266.0,Carlos Arroyo,31.0,MIA,PG,49.0,42.0,995.0,109.0,238.0,0.458,28.0,64.0,0.438,81.0,174.0,0.466,0.517,28.0,35.0,0.8,13.0,67.0,80.0,100.0,14.0,1.0,43.0,60.0,274.0,0.0,
2011,266.0,Carlos Arroyo,31.0,BOS,PG,15.0,1.0,190.0,11.0,35.0,0.314,3.0,5.0,0.6,8.0,30.0,0.267,0.357,11.0,12.0,0.917,7.0,16.0,23.0,25.0,7.0,0.0,17.0,11.0,36.0,0.0,
2011,267.0,Anthony Randolph,21.0,2TM,PF,40.0,3.0,590.0,123.0,264.0,0.466,1.0,4.0,0.25,122.0,260.0,0.469,0.468,58.0,86.0,0.674,43.0,117.0,160.0,33.0,22.0,24.0,53.0,62.0,305.0,0.0,
2011,267.0,Anthony Randolph,21.0,NYK,PF,17.0,0.0,127.0,14.0,45.0,0.311,1.0,4.0,0.25,13.0,41.0,0.317,0.322,6.0,12.0,0.5,11.0,29.0,40.0,7.0,4.0,8.0,10.0,15.0,35.0,0.0,
2011,267.0,Anthony Randolph,21.0,MIN,C,23.0,3.0,463.0,109.0,219.0,0.498,0.0,0.0,,109.0,219.0,0.498,0.498,52.0,74.0,0.703,32.0,88.0,120.0,26.0,18.0,16.0,43.0,47.0,270.0,0.0,
2011,268.0,Christian Eyenga,21.0,CLE,SF,44.0,18.0,947.0,130.0,306.0,0.425,25.0,91.0,0.275,105.0,215.0,0.488,0.466,18.0,28.0,0.643,27.0,96.0,123.0,35.0,34.0,28.0,47.0,78.0,303.0,0.0,
2011,269.0,Henry Walker,23.0,NYK,SG,61.0,1.0,784.0,104.0,236.0,0.441,59.0,153.0,0.386,45.0,83.0,0.542,0.566,31.0,44.0,0.705,16.0,106.0,122.0,34.0,21.0,6.0,37.0,81.0,298.0,0.0,
2011,270.0,Andris Biedriņš,24.0,GSW,C,59.0,55.0,1397.0,142.0,266.0,0.534,0.0,0.0,,142.0,266.0,0.534,0.534,10.0,31.0,0.323,145.0,281.0,426.0,60.0,52.0,52.0,57.0,198.0,294.0,0.0,
2011,271.0,Samardo Samuels,22.0,CLE,PF,37.0,10.0,701.0,110.0,241.0,0.456,0.0,3.0,0.0,110.0,238.0,0.462,0.456,68.0,110.0,0.618,75.0,83.0,158.0,17.0,15.0,18.0,53.0,88.0,288.0,0.0,
2011,272.0,Dahntay Jones,30.0,IND,SG,45.0,2.0,589.0,100.0,214.0,0.467,14.0,39.0,0.359,86.0,175.0,0.491,0.5,69.0,90.0,0.767,4.0,61.0,65.0,33.0,20.0,7.0,31.0,70.0,283.0,0.0,
