season,Rk,Player,Age,Team,Lg,WAR,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,rOBA,Rbat+,TB,GIDP,HBP,SH,SF,IBB,Pos,Awards
2024,1.0,Jarren Duran*,27.0,BOS,AL,9.0,160.0,735.0,671.0,111.0,191.0,48.0,14.0,21.0,75.0,34.0,7.0,54.0,160.0,0.285,0.342,0.492,0.834,132.0,0.373,137.0,330.0,6.0,6.0,1.0,3.0,1.0,*87,"AS,MVP-8"
2024,2.0,Shohei Ohtani*,29.0,LAD,NL,9.0,159.0,731.0,636.0,134.0,197.0,38.0,7.0,54.0,130.0,59.0,4.0,81.0,162.0,0.31,0.39,0.646,1.036,187.0,0.449,188.0,411.0,7.0,6.0,0.0,5.0,10.0,*D,"AS,MVP-1,SS"
2024,3.0,Gunnar Henderson*,23.0,BAL,AL,8.8,159.0,719.0,630.0,118.0,177.0,31.0,7.0,37.0,92.0,21.0,4.0,78.0,159.0,0.281,0.364,0.529,0.893,155.0,0.385,153.0,333.0,2.0,7.0,0.0,4.0,1.0,*6/D,"AS,MVP-4"
2024,4.0,Marcus Semien,33.0,TEX,AL,4.5,159.0,718.0,650.0,101.0,154.0,27.0,2.0,23.0,74.0,8.0,3.0,64.0,105.0,0.237,0.308,0.391,0.699,103.0,0.31,104.0,254.0,9.0,3.0,0.0,1.0,2.0,*4,AS
2024,5.0,Juan Soto*,25.0,NYY,AL,8.0,157.0,713.0,576.0,128.0,166.0,31.0,4.0,41.0,109.0,7.0,4.0,129.0,119.0,0.288,0.419,0.569,0.989,179.0,0.424,180.0,328.0,10.0,4.0,0.0,4.0,2.0,*9/7DH,"AS,MVP-3,SS"
2024,6.0,Bobby Witt Jr.,24.0,KCR,AL,9.6,161.0,709.0,636.0,125.0,211.0,45.0,11.0,32.0,109.0,31.0,12.0,57.0,106.0,0.332,0.389,0.588,0.977,174.0,0.416,174.0,374.0,4.0,8.0,0.0,8.0,9.0,*6/D,"AS,MVP-2,GG,SS"
2024,7.0,Aaron Judge,32.0,NYY,AL,10.9,158.0,704.0,559.0,122.0,180.0,36.0,1.0,58.0,144.0,10.0,0.0,133.0,171.0,0.322,0.458,0.701,1.159,225.0,0.484,224.0,392.0,22.0,9.0,0.0,2.0,20.0,*8D/97,"AS,MVP-1,SS"
2024,8.0,Vladimir Guerrero Jr.,25.0,TOR,AL,6.0,159.0,697.0,616.0,98.0,199.0,44.0,1.0,30.0,103.0,2.0,2.0,72.0,96.0,0.323,0.396,0.544,0.94,164.0,0.399,163.0,335.0,16.0,5.0,0.0,4.0,12.0,*3D5/H,"AS,MVP-6,SS"
2024,9.0,Elly De La Cruz#,22.0,CIN,NL,5.2,160.0,696.0,618.0,105.0,160.0,36.0,10.0,25.0,76.0,67.0,16.0,69.0,218.0,0.259,0.339,0.471,0.809,119.0,0.367,122.0,291.0,12.0,6.0,2.0,1.0,2.0,*6/H,"AS,MVP-8"
2024,10.0,Pete Alonso,29.0,NYM,NL,2.5,162.0,695.0,608.0,91.0,146.0,31.0,0.0,34.0,88.0,3.0,0.0,70.0,172.0,0.24,0.329,0.459,0.788,122.0,0.341,121.0,279.0,14.0,13.0,0.0,4.0,4.0,*3/DH,AS
2024,11.0,Ezequiel Tovar,22.0,COL,NL,3.6,157.0,695.0,655.0,83.0,176.0,45.0,4.0,26.0,78.0,6.0,5.0,23.0,200.0,0.269,0.295,0.469,0.763,100.0,0.325,97.0,307.0,16.0,4.0,5.0,7.0,1.0,*6,"MVP-19,GG"
2024,12.0,Bryan Reynolds#,29.0,PIT,NL,3.6,156.0,692.0,622.0,73.0,171.0,29.0,3.0,24.0,88.0,10.0,2.0,57.0,156.0,0.275,0.344,0.447,0.791,120.0,0.355,126.0,278.0,7.0,10.0,0.0,3.0,3.0,*7D9,AS
2024,13.0,Kyle Schwarber*,31.0,PHI,NL,3.3,150.0,692.0,573.0,110.0,142.0,22.0,0.0,38.0,104.0,5.0,3.0,106.0,197.0,0.248,0.366,0.485,0.851,134.0,0.367,134.0,278.0,6.0,5.0,0.0,8.0,4.0,*D/7H,MVP-15
2024,14.0,Francisco Lindor#,30.0,NYM,NL,6.8,152.0,689.0,618.0,107.0,169.0,39.0,1.0,33.0,91.0,29.0,4.0,56.0,127.0,0.273,0.344,0.5,0.844,137.0,0.373,140.0,309.0,7.0,12.0,0.0,3.0,0.0,*6/DH,"MVP-2,SS"
2024,15.0,Anthony Volpe,23.0,NYY,AL,3.5,160.0,689.0,637.0,90.0,155.0,27.0,7.0,12.0,60.0,28.0,7.0,42.0,156.0,0.243,0.293,0.364,0.657,86.0,0.296,85.0,232.0,9.0,4.0,2.0,3.0,1.0,*6/H,
2024,16.0,Willy Adames,28.0,MIL,NL,3.2,161.0,688.0,610.0,93.0,153.0,33.0,0.0,32.0,112.0,21.0,4.0,74.0,173.0,0.251,0.331,0.462,0.794,119.0,0.348,118.0,282.0,12.0,1.0,0.0,3.0,3.0,*6,MVP-10
2024,17.0,Marcell Ozuna,33.0,ATL,NL,4.3,162.0,688.0,606.0,96.0,183.0,31.0,0.0,39.0,104.0,1.0,0.0,74.0,170.0,0.302,0.378,0.546,0.925,154.0,0.394,154.0,331.0,23.0,3.0,0.0,4.0,2.0,*D,"AS,MVP-4"
2024,18.0,Matt Olson*,30.0,ATL,NL,3.9,162.0,685.0,600.0,78.0,148.0,37.0,1.0,29.0,98.0,0.0,0.0,71.0,170.0,0.247,0.333,0.457,0.79,118.0,0.342,117.0,274.0,15.0,9.0,0.0,5.0,5.0,*3,
2024,19.0,Corbin Carroll*,23.0,ARI,NL,3.3,158.0,684.0,589.0,121.0,136.0,22.0,14.0,22.0,74.0,35.0,8.0,73.0,130.0,0.231,0.322,0.428,0.749,106.0,0.333,105.0,252.0,3.0,10.0,3.0,9.0,0.0,*89/H,
