season,Rk,Player,Age,Team,Lg,WAR,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,rOBA,Rbat+,TB,GIDP,HBP,SH,SF,IBB,Pos,Awards
2023,14.0,Mookie Betts,30.0,LAD,NL,8.6,152.0,693.0,584.0,126.0,179.0,40.0,1.0,39.0,107.0,14.0,3.0,96.0,107.0,0.307,0.408,0.579,0.987,165.0,0.424,169.0,338.0,5.0,8.0,0.0,5.0,3.0,946/H,"AS,MVP-2,SS"
2023,15.0,Ian Happ#,28.0,CHC,NL,3.5,158.0,691.0,580.0,86.0,144.0,35.0,4.0,21.0,84.0,14.0,3.0,99.0,153.0,0.248,0.36,0.431,0.791,118.0,0.351,120.0,250.0,12.0,6.0,0.0,6.0,2.0,*7/DH,GG
2023,16.0,José Ramírez#,30.0,CLE,AL,4.9,156.0,691.0,611.0,87.0,172.0,36.0,5.0,24.0,80.0,28.0,6.0,73.0,73.0,0.282,0.356,0.475,0.831,128.0,0.357,124.0,290.0,8.0,1.0,0.0,6.0,22.0,*5D,"AS,MVP-10"
2023,17.0,Trea Turner,30.0,PHI,NL,3.5,155.0,691.0,639.0,102.0,170.0,35.0,5.0,26.0,76.0,30.0,0.0,45.0,150.0,0.266,0.32,0.459,0.778,110.0,0.349,111.0,293.0,12.0,6.0,0.0,1.0,2.0,*6/D,
2023,18.0,Nico Hoerner,26.0,CHC,NL,5.5,150.0,688.0,619.0,98.0,175.0,27.0,4.0,9.0,68.0,43.0,7.0,49.0,83.0,0.283,0.346,0.383,0.729,102.0,0.344,110.0,237.0,12.0,14.0,1.0,5.0,0.0,*46/DH,GG
2023,19.0,Paul Goldschmidt,35.0,STL,NL,3.3,154.0,687.0,593.0,89.0,159.0,31.0,0.0,25.0,80.0,11.0,2.0,87.0,161.0,0.268,0.363,0.447,0.81,120.0,0.355,119.0,265.0,12.0,3.0,0.0,3.0,6.0,*3D,
2023,20.0,Francisco Lindor#,29.0,NYM,NL,6.1,160.0,687.0,602.0,108.0,153.0,33.0,2.0,31.0,98.0,31.0,4.0,66.0,137.0,0.254,0.336,0.47,0.806,121.0,0.355,120.0,283.0,8.0,12.0,0.0,7.0,1.0,*6/DH,"MVP-9,SS"
2023,21.0,Adley Rutschman#,25.0,BAL,AL,4.3,154.0,687.0,588.0,84.0,163.0,31.0,1.0,20.0,80.0,1.0,2.0,92.0,101.0,0.277,0.374,0.435,0.809,128.0,0.35,127.0,256.0,14.0,2.0,0.0,5.0,6.0,*2D/H,"AS,MVP-9,SS"
2023,22.0,Spencer Torkelson,23.0,DET,AL,1.0,159.0,684.0,606.0,88.0,141.0,34.0,1.0,31.0,94.0,3.0,0.0,67.0,171.0,0.233,0.313,0.446,0.758,107.0,0.332,108.0,270.0,15.0,6.0,0.0,5.0,1.0,*3/D,
2023,23.0,George Springer,33.0,TOR,AL,2.0,154.0,683.0,613.0,87.0,158.0,25.0,1.0,21.0,72.0,20.0,5.0,60.0,125.0,0.258,0.327,0.405,0.732,102.0,0.327,104.0,248.0,20.0,5.0,0.0,3.0,1.0,*9D/H8,
2023,24.0,Vladimir Guerrero Jr.,24.0,TOR,AL,1.8,156.0,682.0,602.0,78.0,159.0,30.0,0.0,26.0,94.0,5.0,3.0,67.0,100.0,0.264,0.345,0.444,0.788,116.0,0.346,120.0,267.0,23.0,9.0,0.0,4.0,5.0,*3D/H,AS
2023,25.0,Brandon Nimmo*,30.0,NYM,NL,4.0,152.0,682.0,592.0,89.0,162.0,30.0,6.0,24.0,68.0,3.0,3.0,74.0,146.0,0.274,0.363,0.466,0.829,128.0,0.362,131.0,276.0,6.0,11.0,1.0,4.0,0.0,*87/DH,
2023,26.0,Lane Thomas,27.0,WSN,NL,3.3,156.0,682.0,628.0,101.0,168.0,36.0,3.0,28.0,86.0,20.0,5.0,36.0,176.0,0.268,0.315,0.468,0.783,115.0,0.343,116.0,294.0,5.0,11.0,0.0,7.0,0.0,*98/H1D,
2023,27.0,Teoscar Hernández,30.0,SEA,AL,2.3,160.0,678.0,625.0,70.0,161.0,29.0,2.0,26.0,93.0,7.0,2.0,38.0,211.0,0.258,0.305,0.435,0.741,108.0,0.318,106.0,272.0,6.0,8.0,0.0,7.0,2.0,*9D/H,
2023,28.0,Kyle Tucker*,26.0,HOU,AL,5.5,157.0,674.0,574.0,97.0,163.0,37.0,5.0,29.0,112.0,30.0,5.0,80.0,92.0,0.284,0.369,0.517,0.886,142.0,0.381,141.0,297.0,11.0,3.0,0.0,10.0,9.0,*9/DH,"AS,MVP-5,SS"
2023,29.0,Gleyber Torres,26.0,NYY,AL,2.9,158.0,672.0,596.0,90.0,163.0,28.0,2.0,25.0,68.0,13.0,6.0,67.0,98.0,0.273,0.347,0.453,0.8,118.0,0.344,116.0,270.0,19.0,3.0,0.0,6.0,0.0,*4D/H,
2023,30.0,Nick Castellanos,31.0,PHI,NL,1.5,157.0,671.0,626.0,79.0,170.0,37.0,2.0,29.0,106.0,11.0,2.0,36.0,185.0,0.272,0.311,0.476,0.788,112.0,0.342,111.0,298.0,17.0,3.0,0.0,6.0,0.0,*9/DH,"AS,MVP-23"
2023,31.0,Xander Bogaerts,30.0,SDP,NL,4.2,155.0,665.0,596.0,83.0,170.0,31.0,2.0,19.0,58.0,19.0,2.0,56.0,110.0,0.285,0.35,0.44,0.79,117.0,0.349,117.0,262.0,21.0,7.0,0.0,6.0,0.0,*6/DH,
2023,32.0,Ty France,28.0,SEA,AL,0.9,158.0,665.0,587.0,79.0,147.0,32.0,0.0,12.0,58.0,1.0,0.0,43.0,117.0,0.25,0.337,0.366,0.703,101.0,0.318,107.0,215.0,25.0,34.0,0.0,1.0,0.0,*3/H,
2023,33.0,Spencer Steer,25.0,CIN,NL,2.9,156.0,665.0,582.0,74.0,158.0,37.0,3.0,23.0,86.0,15.0,3.0,68.0,139.0,0.271,0.356,0.464,0.82,117.0,0.36,118.0,270.0,9.0,11.0,0.0,4.0,0.0,3574/D9H,ROY-6
2023,34.0,Christian Walker,32.0,ARI,NL,3.7,157.0,661.0,582.0,86.0,150.0,36.0,2.0,33.0,103.0,11.0,0.0,62.0,127.0,0.258,0.333,0.497,0.83,122.0,0.356,119.0,289.0,13.0,8.0,0.0,8.0,3.0,*3/DH,"MVP-23,GG"
2023,35.0,Ozzie Albies#,26.0,ATL,NL,5.0,148.0,660.0,596.0,96.0,167.0,30.0,5.0,33.0,109.0,13.0,1.0,46.0,107.0,0.28,0.336,0.513,0.849,126.0,0.362,122.0,306.0,9.0,8.0,0.0,8.0,2.0,*4,"AS,MVP-16"
2023,36.0,Pete Alonso,28.0,NYM,NL,3.3,154.0,658.0,568.0,92.0,123.0,21.0,2.0,46.0,118.0,4.0,1.0,65.0,151.0,0.217,0.318,0.504,0.821,123.0,0.351,122.0,286.0,17.0,21.0,0.0,4.0,6.0,*3/D,"AS,MVP-17"
2023,37.0,Joey Meneses,31.0,WSN,NL,0.6,154.0,657.0,611.0,71.0,168.0,36.0,1.0,13.0,89.0,0.0,0.0,38.0,130.0,0.275,0.321,0.401,0.722,100.0,0.322,103.0,245.0,15.0,5.0,0.0,3.0,0.0,*D3/H9,
2023,38.0,Rafael Devers*,26.0,BOS,AL,3.5,153.0,656.0,580.0,90.0,157.0,34.0,0.0,33.0,100.0,5.0,1.0,62.0,126.0,0.271,0.351,0.5,0.851,126.0,0.365,126.0,290.0,15.0,11.0,0.0,3.0,10.0,*5/DH6,"MVP-18,SS"
2023,39.0,Anthony Santander#,28.0,BAL,AL,3.0,153.0,656.0,591.0,81.0,152.0,41.0,1.0,28.0,95.0,5.0,1.0,55.0,152.0,0.257,0.325,0.472,0.797,121.0,0.341,119.0,279.0,11.0,6.0,0.0,4.0,1.0,9D3/H7,
2023,40.0,Randy Arozarena,28.0,TBR,AL,3.4,151.0,654.0,551.0,95.0,140.0,19.0,3.0,23.0,83.0,22.0,10.0,80.0,156.0,0.254,0.364,0.425,0.789,119.0,0.351,124.0,234.0,10.0,18.0,0.0,5.0,1.0,*7D/H,AS
2023,41.0,Ketel Marte#,29.0,ARI,NL,4.9,150.0,650.0,569.0,94.0,157.0,26.0,9.0,25.0,82.0,8.0,2.0,71.0,109.0,0.276,0.358,0.485,0.844,127.0,0.366,128.0,276.0,16.0,5.0,0.0,5.0,2.0,*4/DH86,
2023,42.0,Jeff McNeil*,31.0,NYM,NL,2.4,156.0,648.0,585.0,75.0,158.0,25.0,4.0,10.0,55.0,10.0,0.0,39.0,65.0,0.27,0.333,0.378,0.711,97.0,0.32,98.0,221.0,5.0,18.0,3.0,3.0,0.0,497/H836,
2023,43.0,Corbin Carroll*,22.0,ARI,NL,5.3,155.0,645.0,565.0,116.0,161.0,30.0,10.0,25.0,76.0,54.0,5.0,57.0,125.0,0.285,0.362,0.506,0.868,133.0,0.387,133.0,286.0,7.0,13.0,6.0,4.0,1.0,*798/HD,"AS,MVP-5,ROY-1"
2023,44.0,Bryan Reynolds#,28.0,PIT,NL,2.4,145.0,640.0,574.0,85.0,151.0,31.0,5.0,24.0,84.0,12.0,1.0,53.0,138.0,0.263,0.33,0.46,0.79,111.0,0.343,109.0,264.0,13.0,7.0,0.0,6.0,2.0,*7D8/H,
2023,45.0,Bryson Stott*,25.0,PHI,NL,4.3,151.0,640.0,585.0,78.0,164.0,32.0,2.0,15.0,62.0,31.0,3.0,39.0,100.0,0.28,0.329,0.419,0.747,103.0,0.339,105.0,245.0,10.0,7.0,1.0,8.0,1.0,*4/HD,
2023,46.0,Willy Adames,27.0,MIL,NL,2.9,149.0,638.0,553.0,73.0,120.0,29.0,2.0,24.0,80.0,5.0,3.0,71.0,165.0,0.217,0.31,0.407,0.717,94.0,0.313,93.0,225.0,12.0,6.0,0.0,6.0,1.0,*6/D,
2023,47.0,J.P. Crawford*,28.0,SEA,AL,5.2,145.0,638.0,534.0,94.0,142.0,35.0,0.0,19.0,65.0,2.0,0.0,94.0,125.0,0.266,0.38,0.438,0.818,133.0,0.362,138.0,234.0,7.0,5.0,3.0,2.0,1.0,*6/H,MVP-16
2023,48.0,Dansby Swanson,29.0,CHC,NL,5.2,147.0,638.0,565.0,81.0,138.0,25.0,3.0,22.0,80.0,9.0,1.0,66.0,154.0,0.244,0.328,0.416,0.744,104.0,0.328,103.0,235.0,9.0,5.0,0.0,2.0,0.0,*6,"AS,MVP-19,GG"
2023,49.0,Fernando Tatis Jr.,24.0,SDP,NL,5.2,141.0,635.0,575.0,91.0,148.0,33.0,1.0,25.0,78.0,29.0,4.0,53.0,141.0,0.257,0.322,0.449,0.77,110.0,0.347,114.0,258.0,17.0,3.0,1.0,3.0,0.0,*9/8D4H,"MVP-14,GG"
2023,50.0,Jeremy Peña,25.0,HOU,AL,3.9,150.0,634.0,577.0,81.0,152.0,32.0,3.0,10.0,52.0,13.0,9.0,43.0,129.0,0.263,0.324,0.381,0.705,95.0,0.315,99.0,220.0,11.0,9.0,1.0,1.0,1.0,*6,
2023,51.0,Adolis García,30.0,TEX,AL,4.5,148.0,632.0,555.0,108.0,136.0,29.0,0.0,39.0,107.0,9.0,1.0,65.0,175.0,0.245,0.328,0.508,0.836,127.0,0.36,127.0,282.0,12.0,6.0,0.0,6.0,0.0,*9/8DH,"AS,MVP-14,GG"
2023,52.0,Christian Yelich*,31.0,MIL,NL,3.5,144.0,632.0,550.0,106.0,153.0,34.0,1.0,19.0,76.0,28.0,3.0,78.0,140.0,0.278,0.37,0.447,0.818,123.0,0.366,125.0,246.0,15.0,3.0,0.0,1.0,7.0,*7D/H,
2023,53.0,Ryan McMahon*,28.0,COL,NL,2.9,152.0,627.0,555.0,80.0,133.0,31.0,3.0,23.0,70.0,5.0,5.0,68.0,198.0,0.24,0.322,0.431,0.753,94.0,0.326,92.0,239.0,19.0,1.0,0.0,3.0,2.0,*54/HD,
2023,54.0,Bryan De La Cruz,26.0,MIA,NL,-0.7,153.0,626.0,579.0,60.0,149.0,32.0,0.0,19.0,78.0,4.0,1.0,40.0,142.0,0.257,0.304,0.411,0.715,88.0,0.315,86.0,238.0,18.0,1.0,0.0,5.0,0.0,*79/8HD,
2023,55.0,Ha-Seong Kim,27.0,SDP,NL,5.4,152.0,626.0,538.0,84.0,140.0,23.0,0.0,17.0,60.0,38.0,9.0,75.0,124.0,0.26,0.351,0.398,0.749,107.0,0.348,115.0,214.0,7.0,3.0,5.0,5.0,1.0,456/HD,"MVP-14,GG"
2023,56.0,Justin Turner,38.0,BOS,AL,2.1,146.0,626.0,558.0,86.0,154.0,31.0,0.0,23.0,96.0,4.0,1.0,51.0,110.0,0.276,0.345,0.455,0.8,114.0,0.35,116.0,254.0,10.0,11.0,0.0,6.0,0.0,D34/5H,
2023,57.0,Gunnar Henderson*,22.0,BAL,AL,6.1,150.0,622.0,560.0,100.0,143.0,29.0,9.0,28.0,82.0,10.0,3.0,56.0,159.0,0.255,0.325,0.489,0.814,125.0,0.349,125.0,274.0,10.0,3.0,0.0,3.0,1.0,56D/H,"MVP-8,ROY-1,SS"
2023,58.0,Andrew Benintendi*,28.0,CHW,AL,0.4,151.0,621.0,562.0,72.0,147.0,34.0,2.0,5.0,45.0,13.0,2.0,52.0,89.0,0.262,0.326,0.356,0.682,88.0,0.306,87.0,200.0,12.0,3.0,1.0,3.0,5.0,*7/HD,
2023,59.0,Carlos Santana#,37.0,2TM,NL,2.7,146.0,619.0,550.0,78.0,132.0,33.0,1.0,23.0,86.0,6.0,0.0,65.0,104.0,0.24,0.318,0.429,0.747,101.0,0.331,102.0,236.0,11.0,0.0,0.0,4.0,0.0,*3D/H,
2023,59.0,Carlos Santana#,37.0,PIT,NL,1.5,94.0,393.0,345.0,45.0,81.0,25.0,0.0,12.0,53.0,6.0,0.0,45.0,69.0,0.235,0.321,0.412,0.732,97.0,0.329,99.0,142.0,3.0,0.0,0.0,3.0,0.0,3/D,
2023,59.0,Carlos Santana#,37.0,MIL,NL,1.1,52.0,226.0,205.0,33.0,51.0,8.0,1.0,11.0,33.0,0.0,0.0,20.0,35.0,0.249,0.314,0.459,0.773,108.0,0.333,107.0,94.0,8.0,0.0,0.0,1.0,0.0,3/DH,
2023,60.0,Luis Arraez*,26.0,MIA,NL,4.6,147.0,617.0,574.0,71.0,203.0,30.0,3.0,10.0,69.0,3.0,2.0,35.0,34.0,0.354,0.393,0.469,0.861,128.0,0.373,129.0,269.0,18.0,4.0,1.0,3.0,10.0,*43/HD,"AS,MVP-8,SS"
2023,61.0,Josh Bell#,30.0,2TM,2LG,-0.1,150.0,617.0,547.0,52.0,135.0,28.0,0.0,22.0,74.0,0.0,1.0,63.0,134.0,0.247,0.325,0.419,0.744,101.0,0.323,99.0,229.0,13.0,2.0,0.0,3.0,2.0,D3/H,
2023,61.0,Josh Bell#,30.0,CLE,AL,-0.3,97.0,393.0,347.0,26.0,81.0,19.0,0.0,11.0,48.0,0.0,1.0,43.0,81.0,0.233,0.318,0.383,0.701,93.0,0.304,90.0,133.0,7.0,1.0,0.0,2.0,1.0,D3/H,
2023,61.0,Josh Bell#,30.0,MIA,NL,0.2,53.0,224.0,200.0,26.0,54.0,9.0,0.0,11.0,26.0,0.0,0.0,20.0,53.0,0.27,0.338,0.48,0.818,114.0,0.355,115.0,96.0,6.0,1.0,0.0,1.0,1.0,3D,
2023,62.0,Andrés Giménez*,24.0,CLE,AL,5.0,153.0,616.0,557.0,76.0,140.0,27.0,5.0,15.0,62.0,30.0,6.0,32.0,112.0,0.251,0.314,0.399,0.712,96.0,0.318,95.0,222.0,10.0,20.0,4.0,3.0,3.0,*4/H,GG
2023,63.0,Ezequiel Tovar,21.0,COL,NL,2.5,153.0,615.0,581.0,79.0,147.0,37.0,4.0,15.0,73.0,11.0,5.0,25.0,166.0,0.253,0.287,0.408,0.695,79.0,0.305,76.0,237.0,10.0,4.0,2.0,3.0,0.0,*6,
2023,64.0,Andrew Vaughn,25.0,CHW,AL,1.1,152.0,615.0,566.0,67.0,146.0,30.0,2.0,21.0,80.0,0.0,0.0,36.0,129.0,0.258,0.314,0.429,0.743,102.0,0.325,103.0,243.0,15.0,11.0,0.0,2.0,0.0,*3/DH,
2023,65.0,CJ Abrams*,22.0,WSN,NL,3.5,151.0,614.0,563.0,83.0,138.0,28.0,6.0,18.0,64.0,47.0,4.0,32.0,118.0,0.245,0.3,0.412,0.712,96.0,0.324,94.0,232.0,7.0,13.0,3.0,3.0,2.0,*6/H,
2023,66.0,Nolan Arenado,32.0,STL,NL,2.2,144.0,612.0,560.0,71.0,149.0,26.0,2.0,26.0,93.0,3.0,3.0,41.0,101.0,0.266,0.315,0.459,0.774,108.0,0.335,108.0,257.0,21.0,3.0,0.0,8.0,5.0,*5D/H,AS
2023,67.0,Alec Bohm,26.0,PHI,NL,0.5,145.0,611.0,558.0,74.0,153.0,31.0,0.0,20.0,97.0,4.0,1.0,42.0,94.0,0.274,0.327,0.437,0.765,107.0,0.333,106.0,244.0,23.0,5.0,0.0,6.0,1.0,53/DH,
2023,68.0,William Contreras,25.0,MIL,NL,3.7,141.0,611.0,540.0,86.0,156.0,38.0,1.0,17.0,78.0,6.0,1.0,63.0,126.0,0.289,0.367,0.457,0.825,124.0,0.362,126.0,247.0,23.0,5.0,1.0,2.0,2.0,2D/H,"MVP-11,SS"
2023,69.0,MJ Melendez*,24.0,KCR,AL,-0.4,148.0,602.0,533.0,65.0,125.0,29.0,5.0,16.0,56.0,6.0,4.0,62.0,170.0,0.235,0.316,0.398,0.713,94.0,0.315,95.0,212.0,4.0,3.0,0.0,4.0,2.0,*97D2/H3,
2023,70.0,Alex Verdugo*,27.0,BOS,AL,2.7,142.0,602.0,546.0,81.0,144.0,37.0,5.0,13.0,54.0,5.0,3.0,45.0,93.0,0.264,0.324,0.421,0.745,100.0,0.324,98.0,230.0,11.0,6.0,0.0,5.0,1.0,*9/H,
2023,71.0,Bo Bichette,25.0,TOR,AL,4.8,135.0,601.0,571.0,69.0,175.0,30.0,3.0,20.0,73.0,5.0,3.0,27.0,115.0,0.306,0.339,0.475,0.814,122.0,0.355,126.0,271.0,14.0,2.0,0.0,1.0,0.0,*6/DH,"AS,MVP-16"
2023,72.0,Manny Machado,30.0,SDP,NL,2.7,138.0,601.0,543.0,75.0,140.0,21.0,0.0,30.0,91.0,3.0,2.0,50.0,109.0,0.258,0.319,0.462,0.782,113.0,0.337,111.0,251.0,20.0,2.0,0.0,6.0,1.0,5D,
2023,73.0,Anthony Volpe,22.0,NYY,AL,3.3,159.0,601.0,541.0,62.0,113.0,23.0,4.0,21.0,60.0,24.0,5.0,52.0,167.0,0.209,0.283,0.383,0.666,81.0,0.299,80.0,207.0,10.0,5.0,1.0,2.0,0.0,*6/H,"ROY-8,GG"
2023,74.0,Yandy Díaz,31.0,TBR,AL,5.1,137.0,600.0,525.0,95.0,173.0,35.0,0.0,22.0,78.0,0.0,1.0,65.0,94.0,0.33,0.41,0.522,0.932,157.0,0.399,159.0,274.0,16.0,8.0,0.0,2.0,0.0,*3D/5H,"AS,MVP-6,SS"
2023,75.0,Shohei Ohtani*,28.0,LAA,AL,6.1,135.0,599.0,497.0,102.0,151.0,26.0,8.0,44.0,95.0,20.0,6.0,91.0,143.0,0.304,0.412,0.654,1.066,185.0,0.435,181.0,325.0,9.0,3.0,0.0,3.0,21.0,*D1,"AS,MVP-1,SS"
2023,76.0,Luis Robert Jr.,25.0,CHW,AL,5.3,145.0,595.0,546.0,90.0,144.0,36.0,1.0,38.0,80.0,20.0,4.0,30.0,172.0,0.264,0.315,0.542,0.857,130.0,0.363,128.0,296.0,10.0,12.0,0.0,2.0,5.0,*8/H,"AS,MVP-12,SS"
2023,77.0,José Abreu,36.0,HOU,AL,-0.1,141.0,594.0,540.0,62.0,128.0,23.0,1.0,18.0,90.0,0.0,1.0,42.0,130.0,0.237,0.296,0.383,0.68,87.0,0.303,89.0,207.0,16.0,6.0,0.0,6.0,1.0,*3/D,
2023,78.0,Lourdes Gurriel Jr.,29.0,ARI,NL,2.9,145.0,592.0,551.0,65.0,144.0,35.0,2.0,24.0,82.0,5.0,0.0,33.0,103.0,0.261,0.309,0.463,0.772,107.0,0.333,104.0,255.0,20.0,6.0,0.0,2.0,1.0,7D/H3,AS
2023,79.0,Whit Merrifield,34.0,TOR,AL,0.7,145.0,592.0,547.0,66.0,149.0,27.0,0.0,11.0,67.0,26.0,10.0,36.0,101.0,0.272,0.318,0.382,0.7,93.0,0.311,93.0,209.0,15.0,3.0,0.0,6.0,2.0,47/H9,AS
2023,80.0,Marcell Ozuna,32.0,ATL,NL,3.4,144.0,592.0,530.0,84.0,145.0,29.0,1.0,40.0,100.0,0.0,0.0,57.0,134.0,0.274,0.346,0.558,0.905,140.0,0.384,141.0,296.0,9.0,3.0,0.0,2.0,1.0,*D/7H,MVP-19
2023,81.0,Dominic Smith*,28.0,WSN,NL,0.9,153.0,586.0,527.0,57.0,134.0,21.0,1.0,12.0,46.0,1.0,1.0,47.0,91.0,0.254,0.326,0.366,0.692,93.0,0.31,95.0,193.0,12.0,10.0,0.0,2.0,1.0,*3/HD,
2023,82.0,Seiya Suzuki,28.0,CHC,NL,3.2,138.0,583.0,515.0,75.0,147.0,31.0,6.0,20.0,74.0,6.0,7.0,59.0,130.0,0.285,0.357,0.485,0.842,130.0,0.357,128.0,250.0,8.0,2.0,0.0,7.0,3.0,*9/DH,
2023,83.0,Matt Chapman,30.0,TOR,AL,4.3,140.0,581.0,509.0,66.0,122.0,39.0,2.0,17.0,54.0,4.0,2.0,62.0,165.0,0.24,0.33,0.424,0.755,107.0,0.333,110.0,216.0,4.0,8.0,0.0,2.0,1.0,*5/DH,GG
2023,84.0,Daulton Varsho*,26.0,TOR,AL,3.6,158.0,581.0,527.0,65.0,116.0,23.0,3.0,20.0,61.0,16.0,7.0,45.0,135.0,0.22,0.285,0.389,0.674,84.0,0.299,86.0,205.0,5.0,4.0,1.0,3.0,0.0,*78/HD,
2023,85.0,Carlos Correa,28.0,MIN,AL,1.3,135.0,580.0,514.0,60.0,118.0,29.0,2.0,18.0,65.0,0.0,0.0,59.0,131.0,0.23,0.312,0.399,0.711,94.0,0.312,93.0,205.0,30.0,4.0,0.0,3.0,3.0,*6,
2023,86.0,Salvador Perez,33.0,KCR,AL,0.4,140.0,580.0,538.0,59.0,137.0,21.0,0.0,23.0,80.0,0.0,0.0,19.0,135.0,0.255,0.292,0.422,0.714,92.0,0.303,86.0,227.0,11.0,13.0,0.0,8.0,6.0,2D3,AS
2023,87.0,Jorge Soler,31.0,MIA,NL,1.5,137.0,580.0,504.0,77.0,126.0,24.0,0.0,36.0,75.0,1.0,0.0,66.0,141.0,0.25,0.341,0.512,0.853,123.0,0.364,121.0,258.0,20.0,6.0,0.0,4.0,4.0,D9/H,AS
2023,88.0,Masataka Yoshida*,29.0,BOS,AL,1.4,140.0,580.0,537.0,71.0,155.0,33.0,3.0,15.0,72.0,8.0,0.0,34.0,81.0,0.289,0.338,0.445,0.783,109.0,0.348,112.0,239.0,20.0,7.0,0.0,2.0,0.0,7D/H,ROY-6
2023,89.0,Max Muncy*,32.0,LAD,NL,2.9,135.0,579.0,482.0,95.0,102.0,17.0,1.0,36.0,105.0,1.0,2.0,85.0,153.0,0.212,0.333,0.475,0.808,117.0,0.345,115.0,229.0,8.0,6.0,0.0,6.0,4.0,*5D/H,
2023,90.0,Jeimer Candelario#,29.0,2TM,NL,3.3,140.0,576.0,505.0,77.0,127.0,39.0,3.0,22.0,70.0,8.0,1.0,53.0,127.0,0.251,0.336,0.471,0.807,121.0,0.353,123.0,238.0,11.0,13.0,0.0,4.0,1.0,*53/DH,
