season,Rk,Player,Age,Team,Lg,WAR,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,rOBA,Rbat+,TB,GIDP,HBP,SH,SF,IBB,Pos,Awards
2023,1.0,Marcus Semien,32.0,TEX,AL,7.7,162.0,753.0,670.0,122.0,185.0,40.0,4.0,29.0,100.0,14.0,3.0,72.0,110.0,0.276,0.348,0.478,0.826,126.0,0.364,131.0,320.0,5.0,5.0,0.0,5.0,1.0,*4,"AS,MVP-3,SS"
2023,2.0,Ronald Acuña Jr.,25.0,ATL,NL,8.4,159.0,735.0,643.0,149.0,217.0,35.0,4.0,41.0,106.0,73.0,14.0,80.0,84.0,0.337,0.416,0.596,1.012,171.0,0.444,175.0,383.0,15.0,9.0,0.0,3.0,3.0,*9/D,"AS,MVP-1,SS"
2023,3.0,Freddie Freeman*,33.0,LAD,NL,6.8,161.0,730.0,637.0,131.0,211.0,59.0,2.0,29.0,102.0,23.0,1.0,72.0,121.0,0.331,0.41,0.567,0.976,163.0,0.425,167.0,361.0,14.0,16.0,0.0,5.0,12.0,*3,"AS,MVP-3"
2023,4.0,Alex Bregman,29.0,HOU,AL,4.9,161.0,724.0,622.0,103.0,163.0,28.0,4.0,25.0,98.0,3.0,1.0,92.0,87.0,0.262,0.363,0.441,0.804,122.0,0.354,124.0,274.0,22.0,8.0,0.0,2.0,1.0,*5/D,MVP-22
2023,5.0,Nathaniel Lowe*,27.0,TEX,AL,2.9,161.0,724.0,623.0,89.0,163.0,38.0,3.0,17.0,82.0,1.0,0.0,93.0,165.0,0.262,0.36,0.414,0.775,114.0,0.344,117.0,258.0,22.0,5.0,0.0,3.0,2.0,*3,GG
2023,6.0,Matt Olson*,29.0,ATL,NL,7.5,162.0,720.0,608.0,127.0,172.0,27.0,3.0,54.0,139.0,1.0,0.0,104.0,167.0,0.283,0.389,0.604,0.993,164.0,0.415,163.0,367.0,13.0,4.0,0.0,4.0,8.0,*3,"AS,MVP-4,SS"
2023,7.0,Kyle Schwarber*,30.0,PHI,NL,0.7,160.0,720.0,585.0,108.0,115.0,19.0,1.0,47.0,104.0,0.0,2.0,126.0,215.0,0.197,0.343,0.474,0.817,121.0,0.349,119.0,277.0,4.0,6.0,0.0,3.0,5.0,7D,MVP-19
2023,8.0,Steven Kwan*,25.0,CLE,AL,3.2,158.0,718.0,638.0,93.0,171.0,36.0,7.0,5.0,54.0,21.0,3.0,70.0,75.0,0.268,0.34,0.37,0.71,97.0,0.319,97.0,236.0,9.0,3.0,1.0,6.0,2.0,*7/DH,GG
2023,9.0,Austin Riley,26.0,ATL,NL,6.0,159.0,715.0,636.0,117.0,179.0,32.0,3.0,37.0,97.0,3.0,1.0,59.0,172.0,0.281,0.345,0.516,0.861,130.0,0.367,129.0,328.0,18.0,9.0,0.0,11.0,4.0,*5,"AS,MVP-7,SS"
2023,10.0,Julio Rodríguez,22.0,SEA,AL,5.5,155.0,714.0,654.0,102.0,180.0,37.0,2.0,32.0,103.0,37.0,10.0,47.0,175.0,0.275,0.333,0.485,0.818,130.0,0.359,133.0,317.0,14.0,11.0,0.0,2.0,6.0,*8/D,"AS,MVP-4,SS"
2023,11.0,Juan Soto*,24.0,SDP,NL,5.3,162.0,708.0,568.0,97.0,156.0,32.0,1.0,35.0,109.0,12.0,5.0,132.0,129.0,0.275,0.41,0.519,0.93,155.0,0.398,155.0,295.0,18.0,2.0,1.0,5.0,11.0,*7/DH,"AS,MVP-6,SS"
2023,12.0,Eugenio Suárez,31.0,SEA,AL,2.4,162.0,694.0,598.0,68.0,139.0,29.0,0.0,22.0,96.0,2.0,1.0,70.0,214.0,0.232,0.323,0.391,0.714,103.0,0.315,105.0,234.0,10.0,15.0,0.0,11.0,0.0,*5/D,
2023,13.0,Bobby Witt Jr.,23.0,KCR,AL,4.3,158.0,694.0,641.0,97.0,177.0,28.0,11.0,30.0,96.0,49.0,15.0,40.0,121.0,0.276,0.319,0.495,0.813,118.0,0.348,114.0,317.0,11.0,4.0,1.0,8.0,1.0,*6D/H,MVP-7
