"Player","MP","FG","FGA","X2P","X2PA","X3P","X3PA","FT","FTA","ORB","DRB","TRB","AST","STL","BLK","TOV","PF"
"Anthony",37,7,16,4,11,3,5,3,4,4,6,10,7,1,0,3,2
"McNamara",34,6,13,0,3,6,10,0,0,0,0,0,1,1,0,3,2
"Warrick",31,2,4,2,4,0,0,2,4,0,2,2,1,0,2,3,3
"Forth",24,3,4,3,4,0,0,0,1,1,2,3,0,1,3,0,5
"Duany",13,4,6,2,3,2,3,1,2,3,1,4,0,1,0,2,3
"Edelin",27,4,10,4,10,0,0,4,6,0,2,2,2,3,0,2,1
"Pace",21,4,9,4,9,0,0,0,0,1,7,8,2,3,0,2,2
"McNeil",13,0,1,0,1,0,0,0,0,2,3,5,0,0,2,2,4
