"Player","MP","FG","FGA","X2P","X2PA","X3P","X3PA","FT","FTA","ORB","DRB","TRB","AST","STL","BLK","TOV","PF"
"Anthony",40,9,16,8,12,1,4,1,2,4,6,10,1,2,0,4,3
"McNamara",39,4,10,3,4,1,6,0,0,0,0,0,3,5,0,3,0
"Warrick",35,6,9,6,9,0,0,1,3,2,7,9,4,2,1,8,4
"Duany",24,3,7,3,5,0,2,2,4,2,3,5,1,2,0,3,0
"Forth",17,1,3,1,3,0,0,0,0,2,1,3,3,1,1,3,3
"McNeil",23,1,1,1,1,0,0,0,0,1,1,2,1,0,0,1,2
"Edelin",21,1,2,1,2,0,0,7,10,0,6,6,3,1,0,2,1
"Pace",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
