"Player","MP","FG","FGA","X2P","X2PA","X3P","X3PA","FT","FTA","ORB","DRB","TRB","AST","STL","BLK","TOV","PF"
"Warrick",37,3,8,3,8,0,0,5,6,2,4,6,3,0,3,3,3
"Anthony",32,5,16,4,14,1,2,2,6,0,8,8,2,3,1,3,4
"McNamara",30,5,13,1,3,4,10,0,0,1,1,2,6,3,0,4,2
"Duany",7,0,0,0,0,0,0,0,0,0,1,1,0,0,0,2,1
"Forth",5,0,1,0,1,0,0,0,0,0,2,2,0,0,0,2,2
"McNeil",32,2,3,2,3,0,0,0,0,2,5,7,0,1,4,1,4
"Edelin",30,8,12,8,12,0,0,4,6,0,4,4,2,1,0,0,1
"Pace",27,3,4,3,4,0,0,0,0,0,8,8,3,3,1,2,2
