Tm,W,L,R,RA
CLE,102,60,5,3.5
HOU,101,61,5.5,4.3
BOS,93,69,4.8,4.1
NYY,91,71,5.3,4.1
MIN,85,77,5,4.9
LAA,80,82,4.4,4.4
KCR,80,82,4.3,4.9
TBR,80,82,4.3,4.3
SEA,78,84,4.6,4.8
TEX,78,84,4.9,5
TOR,76,86,4.3,4.8
BAL,75,87,4.6,5.2
OAK,75,87,4.6,5.1
CHW,67,95,4.4,5.1
DET,64,98,4.5,5.5
