Tm,W,L,R,RA
KCR,95,67,4.5,4
TOR,93,69,5.5,4.1
TEX,88,74,4.6,4.5
NYY,87,75,4.7,4.3
HOU,86,76,4.5,3.8
LAA,85,77,4.1,4.2
MIN,83,79,4.3,4.3
CLE,81,80,4.2,4
BAL,81,81,4.4,4.3
TBR,80,82,4,4
BOS,78,84,4.6,4.6
CHW,76,86,3.8,4.3
SEA,76,86,4,4.5
DET,74,87,4.3,5
OAK,68,94,4.3,4.5
