season,Rk,Player,Age,Team,Lg,WAR,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/BB,Awards
2024,17.0,Brandon Pfaadt,25.0,ARI,NL,0.4,11.0,10.0,0.524,4.71,32.0,32.0,0.0,0.0,0.0,0.0,181.2,183.0,103.0,95.0,24.0,42.0,1.0,185.0,4.0,0.0,1.0,760.0,89.0,3.61,1.239,9.1,1.2,2.1,9.2,4.4,
2024,18.0,Cristopher Sánchez*,27.0,PHI,NL,3.8,11.0,9.0,0.55,3.32,31.0,31.0,0.0,2.0,1.0,0.0,181.2,182.0,76.0,67.0,11.0,44.0,0.0,153.0,0.0,1.0,7.0,754.0,126.0,3.0,1.244,9.0,0.5,2.2,7.6,3.48,"AS,CYA-10"
2024,19.0,Kevin Gausman,33.0,TOR,AL,1.1,14.0,11.0,0.56,3.83,31.0,31.0,0.0,2.0,1.0,0.0,181.0,165.0,86.0,77.0,20.0,56.0,0.0,162.0,2.0,2.0,3.0,756.0,107.0,3.77,1.221,8.2,1.0,2.8,8.1,2.89,
2024,20.0,JP Sears*,28.0,OAK,AL,2.3,11.0,13.0,0.458,4.38,32.0,32.0,0.0,0.0,0.0,0.0,180.2,172.0,93.0,88.0,28.0,49.0,0.0,137.0,14.0,1.0,0.0,758.0,90.0,4.71,1.223,8.6,1.4,2.4,6.8,2.8,
2024,21.0,Bryce Miller,25.0,SEA,AL,3.5,12.0,8.0,0.6,2.94,31.0,31.0,0.0,0.0,0.0,0.0,180.1,131.0,62.0,59.0,21.0,45.0,1.0,171.0,3.0,0.0,2.0,704.0,126.0,3.58,0.976,6.5,1.0,2.2,8.5,3.8,
2024,22.0,Brady Singer,27.0,KCR,AL,2.9,9.0,13.0,0.409,3.71,32.0,32.0,0.0,0.0,0.0,0.0,179.2,175.0,77.0,74.0,22.0,54.0,0.0,170.0,10.0,0.0,2.0,762.0,111.0,3.93,1.275,8.8,1.1,2.7,8.5,3.15,
2024,23.0,Tyler Anderson*,34.0,LAA,AL,2.9,10.0,15.0,0.4,3.81,31.0,31.0,0.0,0.0,0.0,0.0,179.1,158.0,83.0,76.0,24.0,73.0,2.0,142.0,7.0,1.0,3.0,765.0,110.0,4.66,1.288,7.9,1.2,3.7,7.1,1.95,AS
2024,24.0,Tanner Houck,28.0,BOS,AL,3.2,9.0,10.0,0.474,3.12,30.0,30.0,0.0,1.0,1.0,0.0,178.2,156.0,75.0,62.0,11.0,48.0,1.0,154.0,16.0,0.0,2.0,743.0,133.0,3.32,1.142,7.9,0.6,2.4,7.8,3.21,AS
2024,25.0,Bailey Ober,28.0,MIN,AL,3.0,12.0,9.0,0.571,3.98,31.0,31.0,0.0,1.0,0.0,0.0,178.2,136.0,81.0,79.0,27.0,43.0,0.0,191.0,6.0,0.0,1.0,709.0,105.0,3.82,1.002,6.9,1.4,2.2,9.6,4.44,
2024,26.0,Mitch Keller,28.0,PIT,NL,2.0,11.0,12.0,0.478,4.25,31.0,31.0,0.0,1.0,0.0,0.0,178.0,182.0,90.0,84.0,23.0,50.0,0.0,166.0,15.0,2.0,1.0,773.0,98.0,4.08,1.303,9.2,1.2,2.5,8.4,3.32,
2024,27.0,Chris Sale*,35.0,ATL,NL,6.2,18.0,3.0,0.857,2.38,29.0,29.0,0.0,0.0,0.0,0.0,177.2,141.0,48.0,47.0,9.0,39.0,0.0,225.0,8.0,1.0,4.0,702.0,174.0,2.09,1.013,7.1,0.5,2.0,11.4,5.77,"AS,CYA-1,MVP-7,GG"
2024,28.0,Erick Fedde,31.0,2TM,2LG,5.6,9.0,9.0,0.5,3.3,31.0,31.0,0.0,0.0,0.0,0.0,177.1,154.0,66.0,65.0,20.0,52.0,0.0,154.0,5.0,1.0,3.0,726.0,125.0,3.86,1.162,7.8,1.0,2.6,7.8,2.96,
2024,28.0,Erick Fedde,31.0,CHW,AL,4.6,7.0,4.0,0.636,3.11,21.0,21.0,0.0,0.0,0.0,0.0,121.2,105.0,43.0,42.0,14.0,34.0,0.0,108.0,2.0,1.0,2.0,502.0,132.0,3.77,1.142,7.8,1.0,2.5,8.0,3.18,
2024,28.0,Erick Fedde,31.0,STL,NL,1.0,2.0,5.0,0.286,3.72,10.0,10.0,0.0,0.0,0.0,0.0,55.2,49.0,23.0,23.0,6.0,18.0,0.0,46.0,3.0,0.0,1.0,224.0,111.0,4.05,1.204,7.9,1.0,2.9,7.4,2.56,
2024,29.0,Framber Valdez*,30.0,HOU,AL,4.6,15.0,7.0,0.682,2.91,28.0,28.0,0.0,1.0,0.0,0.0,176.1,140.0,60.0,57.0,13.0,55.0,0.0,169.0,6.0,1.0,8.0,703.0,138.0,3.25,1.106,7.1,0.7,2.8,8.6,3.07,"CYA-7,MVP-15"
2024,30.0,Yusei Kikuchi*,33.0,2TM,AL,1.6,9.0,10.0,0.474,4.05,32.0,32.0,0.0,0.0,0.0,0.0,175.2,167.0,85.0,79.0,25.0,44.0,0.0,206.0,2.0,0.0,4.0,736.0,101.0,3.46,1.201,8.6,1.3,2.3,10.6,4.68,CYA-9
2024,30.0,Yusei Kikuchi*,33.0,TOR,AL,0.2,4.0,9.0,0.308,4.75,22.0,22.0,0.0,0.0,0.0,0.0,115.2,125.0,63.0,61.0,17.0,30.0,0.0,130.0,2.0,0.0,2.0,497.0,87.0,3.66,1.34,9.7,1.3,2.3,10.1,4.33,
2024,30.0,Yusei Kikuchi*,33.0,HOU,AL,1.4,5.0,1.0,0.833,2.7,10.0,10.0,0.0,0.0,0.0,0.0,60.0,42.0,22.0,18.0,8.0,14.0,0.0,76.0,0.0,0.0,2.0,239.0,150.0,3.07,0.933,6.3,1.2,2.1,11.4,5.43,
2024,31.0,Luis Castillo,31.0,SEA,AL,1.9,11.0,12.0,0.478,3.64,30.0,30.0,0.0,0.0,0.0,0.0,175.1,158.0,73.0,71.0,25.0,47.0,2.0,175.0,5.0,0.0,0.0,719.0,102.0,3.91,1.169,8.1,1.3,2.4,9.0,3.72,
2024,32.0,Carlos Rodón*,31.0,NYY,AL,1.9,16.0,9.0,0.64,3.96,32.0,32.0,0.0,0.0,0.0,0.0,175.0,157.0,81.0,77.0,31.0,57.0,0.0,195.0,10.0,2.0,3.0,736.0,102.0,4.39,1.223,8.1,1.6,2.9,10.0,3.42,
2024,33.0,Patrick Corbin*,34.0,WSN,NL,-0.8,6.0,13.0,0.316,5.62,32.0,32.0,0.0,0.0,0.0,0.0,174.2,208.0,114.0,109.0,25.0,54.0,1.0,139.0,3.0,0.0,3.0,764.0,72.0,4.41,1.5,10.7,1.3,2.8,7.2,2.57,
2024,34.0,Nestor Cortes*,29.0,NYY,AL,2.4,9.0,10.0,0.474,3.77,31.0,30.0,1.0,0.0,0.0,0.0,174.1,162.0,74.0,73.0,24.0,39.0,0.0,162.0,4.0,1.0,2.0,710.0,107.0,3.84,1.153,8.4,1.2,2.0,8.4,4.15,
2024,35.0,Max Fried*,30.0,ATL,NL,3.5,11.0,10.0,0.524,3.25,29.0,29.0,0.0,2.0,1.0,0.0,174.1,146.0,71.0,63.0,13.0,57.0,0.0,166.0,7.0,0.0,6.0,714.0,128.0,3.33,1.164,7.5,0.7,2.9,8.6,2.91,AS
2024,36.0,Tanner Bibee,25.0,CLE,AL,2.6,12.0,8.0,0.6,3.47,31.0,31.0,0.0,0.0,0.0,0.0,173.2,150.0,70.0,67.0,22.0,44.0,0.0,187.0,8.0,0.0,2.0,710.0,116.0,3.56,1.117,7.8,1.1,2.3,9.7,4.25,
2024,37.0,Michael King,29.0,SDP,NL,4.1,13.0,9.0,0.591,2.95,31.0,30.0,0.0,0.0,0.0,0.0,173.2,144.0,71.0,57.0,17.0,63.0,2.0,201.0,7.0,0.0,1.0,726.0,139.0,3.33,1.192,7.5,0.9,3.3,10.4,3.19,CYA-7
2024,38.0,Freddy Peralta,28.0,MIL,NL,2.4,11.0,9.0,0.55,3.68,32.0,32.0,0.0,0.0,0.0,0.0,173.2,143.0,74.0,71.0,26.0,68.0,0.0,200.0,10.0,1.0,8.0,725.0,113.0,4.16,1.215,7.4,1.3,3.5,10.4,2.94,
2024,39.0,Shota Imanaga*,30.0,CHC,NL,3.0,15.0,3.0,0.833,2.91,29.0,29.0,0.0,0.0,0.0,0.0,173.1,149.0,66.0,56.0,27.0,28.0,0.0,174.0,3.0,0.0,3.0,694.0,137.0,3.72,1.021,7.7,1.4,1.5,9.0,6.21,"AS,CYA-5,ROY-4"
2024,40.0,Griffin Canning,28.0,LAA,AL,0.2,6.0,13.0,0.316,5.19,32.0,31.0,1.0,0.0,0.0,0.0,171.2,174.0,105.0,99.0,31.0,66.0,1.0,130.0,6.0,4.0,6.0,739.0,81.0,5.26,1.398,9.1,1.6,3.5,6.8,1.97,
2024,41.0,Miles Mikolas,35.0,STL,NL,-0.5,10.0,11.0,0.476,5.35,32.0,32.0,0.0,0.0,0.0,0.0,171.2,194.0,106.0,102.0,26.0,25.0,0.0,122.0,5.0,1.0,0.0,720.0,77.0,4.24,1.276,10.2,1.4,1.3,6.4,4.88,
2024,42.0,Chris Bassitt,35.0,TOR,AL,0.1,10.0,14.0,0.417,4.16,31.0,31.0,0.0,0.0,0.0,0.0,171.0,180.0,91.0,79.0,18.0,70.0,2.0,168.0,16.0,2.0,2.0,758.0,99.0,4.08,1.462,9.5,0.9,3.7,8.8,2.4,
2024,43.0,Nathan Eovaldi,34.0,TEX,AL,1.8,12.0,8.0,0.6,3.8,29.0,29.0,0.0,0.0,0.0,0.0,170.2,147.0,74.0,72.0,23.0,42.0,0.0,166.0,7.0,0.0,3.0,696.0,100.0,3.83,1.107,7.8,1.2,2.2,8.8,3.95,
2024,44.0,Jose Quintana*,35.0,NYM,NL,2.5,10.0,10.0,0.5,3.75,31.0,31.0,0.0,0.0,0.0,0.0,170.1,150.0,73.0,71.0,22.0,63.0,0.0,135.0,11.0,0.0,7.0,717.0,105.0,4.56,1.25,7.9,1.2,3.3,7.1,2.14,
2024,45.0,Hunter Brown,25.0,HOU,AL,2.8,11.0,9.0,0.55,3.49,31.0,30.0,0.0,0.0,0.0,0.0,170.0,156.0,71.0,66.0,18.0,60.0,0.0,179.0,5.0,1.0,4.0,712.0,115.0,3.58,1.271,8.3,1.0,3.2,9.5,2.98,
2024,46.0,Kyle Gibson,36.0,STL,NL,0.9,8.0,8.0,0.5,4.24,30.0,30.0,0.0,0.0,0.0,0.0,169.2,161.0,91.0,80.0,23.0,68.0,1.0,151.0,4.0,0.0,5.0,722.0,97.0,4.42,1.35,8.5,1.2,3.6,8.0,2.22,
2024,47.0,Colin Rea,33.0,MIL,NL,1.1,12.0,6.0,0.667,4.29,32.0,27.0,1.0,0.0,0.0,1.0,167.2,169.0,83.0,80.0,29.0,43.0,1.0,135.0,10.0,0.0,2.0,714.0,97.0,4.75,1.264,9.1,1.6,2.3,7.2,3.14,
2024,48.0,Ronel Blanco,30.0,HOU,AL,4.7,13.0,6.0,0.684,2.8,30.0,29.0,1.0,1.0,1.0,0.0,167.1,114.0,56.0,52.0,22.0,68.0,0.0,166.0,2.0,0.0,3.0,676.0,144.0,4.15,1.088,6.1,1.2,3.7,8.9,2.44,
2024,49.0,Michael Wacha,32.0,KCR,AL,3.1,13.0,8.0,0.619,3.35,29.0,29.0,0.0,0.0,0.0,0.0,166.2,154.0,65.0,62.0,17.0,45.0,1.0,145.0,5.0,0.0,3.0,685.0,123.0,3.65,1.194,8.3,0.9,2.4,7.8,3.22,
2024,50.0,MacKenzie Gore*,25.0,WSN,NL,0.9,10.0,12.0,0.455,3.9,32.0,32.0,0.0,0.0,0.0,0.0,166.1,171.0,93.0,72.0,15.0,65.0,0.0,181.0,11.0,0.0,14.0,731.0,104.0,3.53,1.419,9.3,0.8,3.5,9.8,2.78,
2024,51.0,Sonny Gray,34.0,STL,NL,1.6,13.0,9.0,0.591,3.84,28.0,28.0,0.0,0.0,0.0,0.0,166.1,142.0,79.0,71.0,21.0,39.0,0.0,203.0,3.0,1.0,7.0,671.0,107.0,3.12,1.088,7.7,1.1,2.1,11.0,5.21,
2024,52.0,Charlie Morton,40.0,ATL,NL,1.1,8.0,10.0,0.444,4.19,30.0,30.0,0.0,0.0,0.0,0.0,165.1,154.0,85.0,77.0,23.0,65.0,1.0,167.0,18.0,1.0,2.0,701.0,99.0,4.46,1.325,8.4,1.3,3.5,9.1,2.57,
2024,53.0,Jameson Taillon,32.0,CHC,NL,2.3,12.0,8.0,0.6,3.27,28.0,28.0,0.0,0.0,0.0,0.0,165.1,154.0,67.0,60.0,21.0,33.0,0.0,125.0,1.0,2.0,4.0,675.0,122.0,3.92,1.131,8.4,1.1,1.8,6.8,3.79,
2024,54.0,Zach Eflin,30.0,2TM,AL,2.8,10.0,9.0,0.526,3.59,28.0,28.0,0.0,0.0,0.0,0.0,165.1,166.0,71.0,66.0,22.0,24.0,0.0,134.0,3.0,0.0,2.0,684.0,110.0,3.76,1.149,9.0,1.2,1.3,7.3,5.58,
2024,54.0,Zach Eflin,30.0,TBR,AL,0.9,5.0,7.0,0.417,4.09,19.0,19.0,0.0,0.0,0.0,0.0,110.0,115.0,55.0,50.0,14.0,13.0,0.0,87.0,3.0,0.0,1.0,460.0,98.0,3.68,1.164,9.4,1.1,1.1,7.1,6.69,
2024,54.0,Zach Eflin,30.0,BAL,AL,1.9,5.0,2.0,0.714,2.6,9.0,9.0,0.0,0.0,0.0,0.0,55.1,51.0,16.0,16.0,8.0,11.0,0.0,47.0,0.0,0.0,1.0,224.0,149.0,3.94,1.12,8.3,1.3,1.8,7.6,4.27,
2024,55.0,Austin Gomber*,30.0,COL,NL,2.4,5.0,12.0,0.294,4.75,30.0,30.0,0.0,0.0,0.0,0.0,165.0,178.0,89.0,87.0,30.0,38.0,0.0,116.0,1.0,0.0,3.0,696.0,100.0,4.83,1.309,9.7,1.6,2.1,6.3,3.05,
2024,56.0,Brayan Bello,25.0,BOS,AL,1.2,14.0,8.0,0.636,4.49,30.0,30.0,0.0,0.0,0.0,0.0,162.1,157.0,84.0,81.0,19.0,64.0,0.0,153.0,11.0,1.0,6.0,702.0,92.0,4.19,1.361,8.7,1.1,3.5,8.5,2.39,
2024,57.0,Ryan Feltner,27.0,COL,NL,1.3,3.0,10.0,0.231,4.49,30.0,30.0,0.0,0.0,0.0,0.0,162.1,165.0,94.0,81.0,20.0,52.0,0.0,138.0,7.0,0.0,4.0,692.0,105.0,4.16,1.337,9.1,1.1,2.9,7.7,2.65,
2024,58.0,Jack Flaherty,28.0,2TM,2LG,3.3,13.0,7.0,0.65,3.17,28.0,28.0,0.0,0.0,0.0,0.0,162.0,135.0,61.0,57.0,24.0,38.0,0.0,194.0,4.0,0.0,6.0,649.0,130.0,3.47,1.068,7.5,1.3,2.1,10.8,5.11,
2024,58.0,Jack Flaherty,28.0,DET,AL,2.5,7.0,5.0,0.583,2.95,18.0,18.0,0.0,0.0,0.0,0.0,106.2,83.0,38.0,35.0,15.0,19.0,0.0,133.0,3.0,0.0,4.0,415.0,141.0,3.12,0.956,7.0,1.3,1.6,11.2,7.0,
2024,58.0,Jack Flaherty,28.0,LAD,NL,0.8,6.0,2.0,0.75,3.58,10.0,10.0,0.0,0.0,0.0,0.0,55.1,52.0,23.0,22.0,9.0,19.0,0.0,61.0,1.0,0.0,2.0,234.0,112.0,4.16,1.283,8.5,1.5,3.1,9.9,3.21,
2024,59.0,Aaron Civale,29.0,2TM,2LG,1.1,8.0,9.0,0.471,4.36,31.0,31.0,0.0,0.0,0.0,0.0,161.0,158.0,82.0,78.0,29.0,52.0,0.0,149.0,6.0,0.0,1.0,689.0,93.0,4.74,1.304,8.8,1.6,2.9,8.3,2.87,
2024,59.0,Aaron Civale,29.0,TBR,AL,0.1,2.0,6.0,0.25,5.07,17.0,17.0,0.0,0.0,0.0,0.0,87.0,93.0,51.0,49.0,16.0,27.0,0.0,84.0,4.0,0.0,1.0,378.0,79.0,4.69,1.379,9.6,1.7,2.8,8.7,3.11,
2024,59.0,Aaron Civale,29.0,MIL,NL,1.0,6.0,3.0,0.667,3.53,14.0,14.0,0.0,0.0,0.0,0.0,74.0,65.0,31.0,29.0,13.0,25.0,0.0,65.0,2.0,0.0,0.0,311.0,118.0,4.79,1.216,7.9,1.6,3.0,7.9,2.6,
2024,60.0,Chris Flexen,29.0,CHW,AL,1.6,3.0,15.0,0.167,4.95,33.0,30.0,0.0,0.0,0.0,0.0,160.0,180.0,95.0,88.0,24.0,63.0,1.0,123.0,2.0,2.0,4.0,707.0,83.0,4.8,1.519,10.1,1.4,3.5,6.9,1.95,
2024,61.0,Andrew Heaney*,33.0,TEX,AL,0.4,5.0,14.0,0.263,4.28,32.0,31.0,0.0,0.0,0.0,0.0,160.0,159.0,84.0,76.0,23.0,41.0,1.0,159.0,12.0,0.0,2.0,693.0,89.0,4.04,1.25,8.9,1.3,2.3,8.9,3.88,
2024,62.0,Zack Littell,28.0,TBR,AL,2.8,8.0,10.0,0.444,3.63,29.0,29.0,0.0,0.0,0.0,0.0,156.1,164.0,68.0,63.0,22.0,31.0,0.0,141.0,5.0,0.0,0.0,656.0,110.0,3.88,1.247,9.4,1.3,1.8,8.1,4.55,
2024,63.0,Marcus Stroman,33.0,NYY,AL,0.6,10.0,9.0,0.526,4.31,30.0,29.0,1.0,0.0,0.0,1.0,154.2,167.0,81.0,74.0,19.0,60.0,0.0,113.0,8.0,0.0,2.0,675.0,94.0,4.62,1.468,9.7,1.1,3.5,6.6,1.88,
2024,64.0,Luis Gil,26.0,NYY,AL,2.9,15.0,7.0,0.682,3.5,29.0,29.0,0.0,0.0,0.0,0.0,151.2,104.0,60.0,59.0,18.0,77.0,0.0,171.0,8.0,2.0,6.0,637.0,115.0,4.14,1.193,6.2,1.1,4.6,10.1,2.22,ROY-1
2024,65.0,Mitch Spence,26.0,OAK,AL,1.6,8.0,10.0,0.444,4.58,35.0,24.0,2.0,0.0,0.0,0.0,151.1,165.0,79.0,77.0,20.0,44.0,0.0,126.0,6.0,1.0,8.0,651.0,86.0,4.21,1.381,9.8,1.2,2.6,7.5,2.86,
2024,66.0,Ben Lively,32.0,CLE,AL,1.4,13.0,10.0,0.565,3.81,29.0,29.0,0.0,0.0,0.0,0.0,151.0,139.0,67.0,64.0,23.0,49.0,0.0,118.0,5.0,1.0,2.0,632.0,106.0,4.66,1.245,8.3,1.4,2.9,7.0,2.41,
2024,67.0,Mitchell Parker*,24.0,WSN,NL,0.9,7.0,10.0,0.412,4.29,29.0,29.0,0.0,0.0,0.0,0.0,151.0,154.0,82.0,72.0,18.0,43.0,0.0,133.0,2.0,0.0,7.0,646.0,95.0,3.85,1.305,9.2,1.1,2.6,7.9,3.09,
2024,68.0,Ryne Nelson,26.0,ARI,NL,1.6,10.0,6.0,0.625,4.24,28.0,25.0,1.0,0.0,0.0,1.0,150.2,155.0,73.0,71.0,17.0,34.0,2.0,126.0,5.0,0.0,4.0,630.0,99.0,3.74,1.254,9.3,1.0,2.0,7.5,3.71,
2024,69.0,Ranger Suárez*,28.0,PHI,NL,2.9,12.0,8.0,0.6,3.46,27.0,27.0,0.0,1.0,1.0,0.0,150.2,140.0,63.0,58.0,14.0,41.0,1.0,145.0,5.0,2.0,1.0,626.0,121.0,3.37,1.201,8.4,0.8,2.4,8.7,3.54,AS
2024,70.0,Frankie Montas,31.0,2TM,NL,0.6,7.0,11.0,0.389,4.84,30.0,30.0,0.0,0.0,0.0,0.0,150.2,140.0,89.0,81.0,24.0,66.0,0.0,148.0,6.0,0.0,3.0,655.0,89.0,4.71,1.367,8.4,1.4,3.9,8.8,2.24,
2024,70.0,Frankie Montas,31.0,CIN,NL,0.6,4.0,8.0,0.333,5.01,19.0,19.0,0.0,0.0,0.0,0.0,93.1,93.0,56.0,52.0,14.0,41.0,0.0,78.0,5.0,0.0,3.0,411.0,88.0,4.92,1.436,9.0,1.4,4.0,7.5,1.9,
2024,70.0,Frankie Montas,31.0,MIL,NL,-0.1,3.0,3.0,0.5,4.55,11.0,11.0,0.0,0.0,0.0,0.0,57.1,47.0,33.0,29.0,10.0,25.0,0.0,70.0,1.0,0.0,0.0,244.0,91.0,4.35,1.256,7.4,1.6,3.9,11.0,2.8,
2024,71.0,Hunter Greene,24.0,CIN,NL,6.0,9.0,5.0,0.643,2.75,26.0,26.0,0.0,0.0,0.0,0.0,150.1,96.0,47.0,46.0,12.0,57.0,0.0,169.0,19.0,1.0,7.0,611.0,160.0,3.47,1.018,5.7,0.7,3.4,10.1,2.96,"AS,CYA-8"
2024,72.0,Cal Quantrill,29.0,COL,NL,1.8,8.0,11.0,0.421,4.98,29.0,29.0,0.0,0.0,0.0,0.0,148.1,156.0,83.0,82.0,23.0,69.0,0.0,110.0,11.0,1.0,6.0,656.0,95.0,5.32,1.517,9.5,1.4,4.2,6.7,1.59,
2024,73.0,Zac Gallen,28.0,ARI,NL,2.7,14.0,6.0,0.7,3.65,28.0,28.0,0.0,0.0,0.0,0.0,148.0,133.0,62.0,60.0,13.0,54.0,0.0,156.0,4.0,0.0,5.0,621.0,115.0,3.38,1.264,8.1,0.8,3.3,9.5,2.89,
2024,74.0,Javier Assad,26.0,CHC,NL,1.7,7.0,6.0,0.538,3.73,29.0,29.0,0.0,0.0,0.0,0.0,147.0,143.0,64.0,61.0,20.0,63.0,0.0,124.0,5.0,0.0,5.0,638.0,107.0,4.64,1.401,8.8,1.2,3.9,7.6,1.97,
2024,75.0,Matt Waldron,27.0,SDP,NL,0.9,7.0,11.0,0.389,4.91,27.0,26.0,0.0,0.0,0.0,0.0,146.2,145.0,84.0,80.0,21.0,40.0,0.0,133.0,11.0,1.0,5.0,625.0,84.0,4.26,1.261,8.9,1.3,2.5,8.2,3.33,
2024,76.0,Garrett Crochet*,25.0,CHW,AL,4.1,6.0,12.0,0.333,3.58,32.0,32.0,0.0,0.0,0.0,0.0,146.0,123.0,61.0,58.0,18.0,33.0,0.0,209.0,5.0,1.0,3.0,595.0,115.0,2.69,1.068,7.6,1.1,2.0,12.9,6.33,AS
2024,77.0,Nick Pivetta,31.0,BOS,AL,1.5,6.0,12.0,0.333,4.14,27.0,26.0,0.0,0.0,0.0,0.0,145.2,128.0,70.0,67.0,28.0,36.0,1.0,172.0,1.0,0.0,4.0,595.0,100.0,4.07,1.126,7.9,1.7,2.2,10.6,4.78,
