season,Rk,Player,Age,Team,Lg,WAR,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/BB,Awards
2024,1.0,Logan Gilbert,27.0,SEA,AL,3.0,9.0,12.0,0.429,3.23,33.0,33.0,0.0,1.0,0.0,0.0,208.2,148.0,83.0,75.0,26.0,37.0,1.0,220.0,4.0,0.0,11.0,803.0,115.0,3.27,0.887,6.4,1.1,1.6,9.5,5.95,"AS,CYA-6"
2024,2.0,Seth Lugo,34.0,KCR,AL,5.0,16.0,9.0,0.64,3.0,33.0,33.0,0.0,1.0,0.0,0.0,206.2,177.0,75.0,69.0,16.0,48.0,1.0,181.0,9.0,0.0,4.0,836.0,137.0,3.25,1.089,7.7,0.7,2.1,7.9,3.77,"AS,CYA-2,MVP-15,GG"
2024,3.0,Logan Webb,27.0,SFG,NL,3.8,13.0,10.0,0.565,3.47,33.0,33.0,0.0,1.0,1.0,0.0,204.2,202.0,83.0,79.0,11.0,50.0,3.0,172.0,2.0,1.0,4.0,841.0,112.0,2.95,1.231,8.9,0.5,2.2,7.6,3.44,"AS,CYA-6"
2024,4.0,Zack Wheeler,34.0,PHI,NL,6.5,16.0,7.0,0.696,2.57,32.0,32.0,0.0,0.0,0.0,0.0,200.0,139.0,62.0,57.0,20.0,52.0,0.0,224.0,8.0,0.0,8.0,787.0,163.0,3.13,0.955,6.3,0.9,2.3,10.1,4.31,"AS,CYA-2,MVP-12"
2024,5.0,Aaron Nola,31.0,PHI,NL,4.0,14.0,8.0,0.636,3.57,33.0,33.0,0.0,1.0,1.0,0.0,199.1,189.0,84.0,79.0,30.0,50.0,0.0,197.0,3.0,0.0,2.0,820.0,117.0,3.94,1.199,8.5,1.4,2.3,8.9,3.94,CYA-11
2024,6.0,Corbin Burnes,29.0,BAL,AL,3.9,15.0,9.0,0.625,2.92,32.0,32.0,0.0,0.0,0.0,0.0,194.1,165.0,76.0,63.0,22.0,48.0,0.0,181.0,2.0,3.0,7.0,784.0,133.0,3.55,1.096,7.6,1.0,2.2,8.4,3.77,"AS,CYA-5"
2024,7.0,José Berríos,30.0,TOR,AL,2.5,16.0,11.0,0.593,3.6,32.0,32.0,0.0,1.0,0.0,0.0,192.1,168.0,79.0,77.0,31.0,54.0,1.0,153.0,13.0,0.0,1.0,786.0,114.0,4.72,1.154,7.9,1.5,2.5,7.2,2.83,
2024,8.0,Tarik Skubal*,27.0,DET,AL,6.7,18.0,4.0,0.818,2.39,31.0,31.0,0.0,0.0,0.0,0.0,192.0,142.0,54.0,51.0,15.0,35.0,0.0,228.0,9.0,0.0,2.0,753.0,174.0,2.49,0.922,6.7,0.7,1.6,10.7,6.51,"AS,CYA-1,MVP-7"
2024,9.0,George Kirby,26.0,SEA,AL,2.1,14.0,11.0,0.56,3.53,33.0,33.0,0.0,0.0,0.0,0.0,191.0,181.0,82.0,75.0,22.0,23.0,0.0,179.0,7.0,1.0,5.0,778.0,105.0,3.26,1.068,8.5,1.0,1.1,8.4,7.78,
2024,10.0,Dylan Cease,28.0,SDP,NL,4.0,14.0,11.0,0.56,3.47,33.0,33.0,0.0,1.0,1.0,0.0,189.1,137.0,80.0,73.0,18.0,65.0,0.0,224.0,2.0,0.0,12.0,762.0,118.0,3.1,1.067,6.5,0.9,3.1,10.6,3.45,"CYA-4,MVP-22"
2024,11.0,Jake Irvin,27.0,WSN,NL,1.9,10.0,14.0,0.417,4.41,33.0,33.0,0.0,0.0,0.0,0.0,187.2,173.0,97.0,92.0,29.0,52.0,1.0,156.0,4.0,1.0,5.0,769.0,92.0,4.41,1.199,8.3,1.4,2.5,7.5,3.0,
2024,12.0,Cole Ragans*,26.0,KCR,AL,4.7,11.0,9.0,0.55,3.14,32.0,32.0,0.0,1.0,0.0,0.0,186.1,146.0,71.0,65.0,15.0,67.0,1.0,223.0,6.0,0.0,11.0,762.0,131.0,2.99,1.143,7.1,0.7,3.2,10.8,3.33,"AS,CYA-4"
2024,13.0,Pablo López,28.0,MIN,AL,2.6,15.0,10.0,0.6,4.08,32.0,32.0,0.0,0.0,0.0,0.0,185.1,180.0,90.0,84.0,26.0,41.0,0.0,198.0,8.0,0.0,3.0,772.0,103.0,3.65,1.192,8.7,1.3,2.0,9.6,4.83,
2024,14.0,Kutter Crawford,28.0,BOS,AL,1.5,9.0,16.0,0.36,4.36,33.0,33.0,0.0,0.0,0.0,0.0,183.2,155.0,97.0,89.0,34.0,51.0,0.0,175.0,9.0,0.0,4.0,759.0,95.0,4.65,1.122,7.6,1.7,2.5,8.6,3.43,
2024,15.0,Luis Severino,30.0,NYM,NL,1.7,11.0,7.0,0.611,3.91,31.0,31.0,0.0,1.0,1.0,0.0,182.0,166.0,86.0,79.0,23.0,60.0,0.0,161.0,11.0,2.0,6.0,761.0,101.0,4.21,1.242,8.2,1.1,3.0,8.0,2.68,
2024,16.0,Sean Manaea*,32.0,NYM,NL,2.9,12.0,6.0,0.667,3.47,32.0,32.0,0.0,0.0,0.0,0.0,181.2,134.0,75.0,70.0,21.0,63.0,0.0,184.0,9.0,0.0,4.0,738.0,114.0,3.83,1.084,6.6,1.0,3.1,9.1,2.92,CYA-11
