Name,Tm,W,L,ERA,G,GS,IP,H,R,ER,HR,BB,SO
Wade Miller,HOU,15,4,3.28,26,26,164.2,151,63,60,14,62,144
Tony Armas,MON,12,12,4.44,29,29,164.1,149,87,81,22,78,131
Denny Neagle,COL,8,11,5.26,35,28,164.1,170,101,96,26,63,111
Frank Castillo,BOS,6,15,5.07,36,23,163.1,174,101,92,19,58,112
Tim Wakefield,BOS,11,5,2.81,45,15,163.1,121,57,51,15,51,134
Brandon Duckworth,PHI,8,9,5.41,30,29,163,167,103,98,26,69,167
Omar Daal,LAD,11,9,3.9,39,23,161.1,142,73,70,20,54,105
Scott Erickson,BAL,5,12,5.55,29,28,160.2,192,109,99,20,68,74
Shawn Estes,TOT,5,12,5.1,29,29,160.2,171,94,91,13,83,109
Aaron Sele,ANA,8,9,4.89,26,26,160,190,92,87,21,49,82
Brian Anderson,ARI,6,11,4.79,35,24,156,174,86,83,23,32,81
Kazuhisa Ishii,LAD,14,10,4.27,28,28,154,137,82,73,20,106,143
Julian Tavarez,FLA,10,12,5.39,29,27,153.2,188,100,92,9,74,67
Esteban Loaiza,TOR,9,10,5.71,25,25,151.1,192,102,96,18,38,87
James Baldwin,SEA,7,10,5.28,30,23,150,179,95,88,26,49,88
Orlando Hernandez,NYY,8,5,3.64,24,22,146,131,63,59,17,36,113
Jeff D'Amico,NYM,6,10,4.94,29,22,145.2,152,84,80,20,37,101
Chan Ho Park,TEX,9,8,5.75,25,25,145.2,154,95,93,20,78,121
Dave Burba,TOT,5,5,5.2,35,21,145.1,155,91,84,16,57,95
Jason Simontacchi,STL,11,5,4.02,24,24,143.1,134,68,64,18,54,72
Jon Lieber,CHC,6,8,3.7,21,21,141,153,64,58,15,12,87
Jimmy Anderson,PIT,8,13,5.44,28,25,140.2,167,91,85,20,63,47
Pete Walker,TOT,10,5,4.36,38,20,140.1,145,73,68,18,51,80
Michael Tejera,FLA,8,8,4.45,47,18,139.2,144,71,69,17,60,95
Ruben Quevedo,MIL,6,11,5.76,26,25,139,159,100,89,28,68,93
Gary Glover,CHW,7,8,5.2,41,22,138.1,136,86,80,21,52,70
Chris Reitsma,CIN,6,12,3.64,32,21,138.1,144,73,56,17,45,84
Ryan Drese,CLE,10,9,6.55,26,26,137.1,176,104,100,15,62,102
Terry Adams,PHI,7,9,4.35,46,19,136.2,132,76,66,9,58,96
Carl Pavano,TOT,6,10,5.16,37,22,136,174,88,78,19,45,92
Andy Pettitte,NYY,13,5,3.27,22,22,134.2,144,58,49,6,32,97
Todd Ritchie,CHW,5,15,6.06,26,23,133.2,176,104,90,18,52,77
Travis Driskill,BAL,8,8,4.95,29,19,132.2,150,78,73,21,48,78
Jason Johnson,BAL,5,14,4.59,22,22,131.1,141,68,67,19,41,97
Darrell May,KCR,4,10,5.35,30,21,131.1,144,83,78,28,50,95
Masato Yoshii,MON,4,9,4.11,31,20,131.1,143,66,60,15,32,74
Kris Benson,PIT,9,6,4.7,25,25,130.1,152,76,68,18,50,79
Brad Penny,FLA,8,7,4.66,24,24,129.1,148,76,67,18,50,93
Jamey Wright,TOT,7,13,5.29,23,22,129.1,130,80,76,17,75,77
Mike Maroth,DET,6,10,4.48,21,21,128.2,136,68,64,7,36,58
Denny Stark,COL,11,4,4,32,20,128.1,108,69,57,25,64,64
Joey Hamilton,CIN,4,10,5.27,39,17,124.2,136,78,73,11,50,85
Miguel Asencio,KCR,4,7,5.11,31,21,123.1,136,73,70,17,64,58
Shawn Chacon,COL,5,11,5.73,21,21,119.1,122,84,76,25,60,67
Ryan Franklin,SEA,7,5,4.02,41,12,118.2,117,62,53,14,22,65
Brad Radke,MIN,9,5,4.72,21,21,118.1,124,64,62,12,20,62
Scott Schoeneweis,ANA,9,8,4.88,54,15,118,119,68,64,17,49,65
Mark Prior,CHC,6,6,3.32,19,19,116.2,98,45,43,14,38,147
Jason Marquis,ATL,8,9,5.04,22,22,114.1,127,66,64,19,49,84
Victor Zambrano,TBD,8,8,5.53,42,11,114,120,77,70,15,68,73
Carlos Hernandez,HOU,7,5,4.38,23,21,111,112,56,54,11,61,93
John Lackey,ANA,9,4,3.66,18,18,108.1,113,52,44,10,33,69
Johan Santana,MIN,8,6,2.99,27,14,108.1,84,41,36,7,49,137
Carlos Zambrano,CHC,4,8,3.66,32,16,108.1,94,53,44,9,63,93
Bobby Jones,SDP,7,8,5.5,19,18,108,134,68,66,20,21,60
Josh Beckett,FLA,6,7,4.1,23,21,107.2,93,56,49,13,44,113
Casey Fossum,BOS,5,4,3.46,43,12,106.2,113,56,41,12,30,101
Jose Cabrera,MIL,6,10,6.79,50,11,103.1,131,84,78,23,36,61
Woody Williams,STL,9,4,2.53,17,17,103.1,84,30,29,10,25,76
Justin Miller,TOR,9,5,5.54,25,18,102.1,103,70,63,12,66,68
Adam Bernero,DET,4,7,6.2,28,11,101.2,128,74,70,17,31,69
John Halama,SEA,6,5,3.56,31,10,101,112,45,40,9,33,70
Ted Lilly,TOT,5,7,3.69,22,16,100,80,43,41,15,31,77
Jorge Sosa,TBD,2,7,5.53,31,14,99.1,88,63,61,16,54,48
Danny Graves,CIN,7,3,3.19,68,4,98.2,99,37,35,7,25,58
Vladimir Núñez,FLA,6,5,3.41,77,0,97.2,80,38,37,8,37,73
Jake Peavy,SDP,6,7,4.52,17,17,97.2,106,54,49,11,33,90
Juan Cruz,CHC,3,11,3.98,45,9,97.1,84,56,43,11,59,81
Octavio Dotel,HOU,6,4,1.85,83,0,97.1,58,21,20,7,27,118
Andy Benes,STL,5,4,2.78,18,17,97,80,39,30,10,51,64
Mike Timlin,TOT,4,6,2.98,72,1,96.2,75,35,32,15,14,50
Joe Borowski,CHC,4,4,2.73,73,0,95.2,84,31,29,10,29,97
Joe Mays,MIN,4,8,5.38,17,17,95.1,113,60,57,14,25,38
Rob Bell,TEX,4,3,6.22,17,15,94,113,69,65,16,35,70
Billy Koch,OAK,11,4,3.27,84,0,93.2,73,38,34,7,46,93
Nelson Figueroa,MIL,1,7,5.03,30,11,93,96,59,52,18,37,51
Ron Villone,PIT,4,6,5.81,45,7,93,95,63,60,8,34,55
Ramiro Mendoza,NYY,8,4,3.44,62,0,91.2,102,43,35,8,16,61
Tony Fiore,MIN,10,3,3.16,48,2,91,74,32,32,10,43,55
Giovanni Carrara,LAD,6,3,3.28,63,1,90.2,83,34,33,14,32,56
Oliver Perez,SDP,4,5,3.5,16,15,90,71,37,35,13,48,94
Ryan Rupe,TBD,5,10,5.6,15,15,90,83,60,56,11,25,67
Steve Karsay,NYY,6,4,3.26,78,0,88.1,87,33,32,7,30,65
Robert Person,PHI,4,5,5.44,16,16,87.2,79,58,53,13,51,61
Braden Looper,FLA,2,5,3.14,78,0,86,73,31,30,8,28,55
Dave Mlicki,HOU,4,10,5.34,22,16,86,101,57,51,11,34,57
Jason Bere,CHC,1,10,5.67,16,16,85.2,98,63,54,13,28,65
Travis Harper,TBD,5,9,5.46,37,7,85.2,101,54,52,14,27,60
Joe Beimel,PIT,2,5,4.64,53,8,85.1,88,49,44,9,45,53
Kirk Saarloos,HOU,6,7,6.01,17,17,85.1,100,59,57,12,27,54
Joaquin Benoit,TEX,4,5,5.31,17,13,84.2,91,51,50,6,58,59
Darryl Kile,STL,5,4,3.72,14,14,84.2,82,36,35,9,28,50
Shawn Sedlacek,KCR,3,5,6.72,16,14,84.1,99,64,63,16,36,52
Byung-Hyun Kim,ARI,8,3,2.04,72,0,84,64,20,19,5,26,92
Carlos Silva,PHI,5,0,3.21,68,0,84,88,34,30,4,22,41
Rick Bauer,BAL,6,7,3.98,56,1,83.2,84,41,37,12,36,45
Dennys Reyes,TOT,4,4,5.33,58,5,82.2,98,52,49,10,45,59
Dave Veres,STL,5,8,3.48,71,0,82.2,67,34,32,12,39,68
Eric Gagne,LAD,4,1,1.97,77,0,82.1,55,18,18,6,16,114
Todd Jones,COL,1,4,4.7,79,0,82.1,84,43,43,10,28,73
Rolando Arrojo,BOS,4,3,4.98,29,8,81.1,83,47,45,7,27,51
Luis Vizcaino,MIL,5,3,2.99,76,0,81.1,55,27,27,6,30,79
Luther Hackman,STL,5,4,4.11,43,6,81,90,42,37,7,39,46
J.C. Romero,MIN,9,2,1.89,81,0,81,62,17,17,3,36,76
Peter Munro,HOU,5,5,3.57,19,14,80.2,89,37,32,5,23,45
