Name,Tm,W,L,ERA,G,GS,IP,H,R,ER,HR,BB,SO
Bob Wickman,NYY,6,1,4.11,8,8,50.1,51,25,23,2,20,21
Paul Quantrill,BOS,2,3,2.19,27,0,49.1,55,18,12,1,15,24
Mike Munoz,DET,1,2,3,65,0,48,44,16,16,3,25,23
Gary Wayne,MIN,3,3,2.63,41,0,48,46,18,14,2,19,29
Bob MacDonald,TOR,1,0,4.37,27,0,47.1,50,24,23,4,16,26
Mike Trombley,MIN,3,2,3.3,10,7,46.1,43,20,17,5,17,38
Brian Bohanon,TEX,1,1,6.31,18,7,45.2,57,38,32,7,25,29
Jeff Robinson,TEX,4,4,5.72,16,4,45.2,50,30,29,6,21,18
Steve Frey,CAL,4,2,3.57,51,0,45.1,39,18,18,6,22,24
Juan Berenguer,KCR,1,4,5.64,19,2,44.2,42,30,28,3,20,26
Jim Corsi,OAK,4,2,1.43,32,0,44,44,12,7,2,18,19
Mike Timlin,TOR,0,2,4.12,26,0,43.2,45,23,20,0,20,35
Vince Horsman,OAK,2,1,2.49,58,0,43.1,39,13,12,3,21,18
Darren Holmes,MIL,4,4,2.55,41,0,42.1,35,12,12,1,11,31
Terry Mathews,TEX,2,4,5.95,40,0,42.1,48,29,28,4,31,26
Jeff Reardon,BOS,2,2,4.25,46,0,42.1,53,20,20,6,7,32
Chris Haney,KCR,2,3,3.86,7,7,42,35,18,18,5,16,27
Neal Heaton,TOT,3,1,4.07,32,0,42,43,21,19,5,23,31
Tim Fortugno,CAL,1,1,5.18,14,5,41.2,37,24,24,5,19,31
Denis Boucher,CLE,2,2,6.37,8,7,41,48,29,29,9,20,17
Kevin Wickander,CLE,2,0,3.07,44,0,41,39,14,14,1,28,38
Rick Honeycutt,OAK,1,4,3.69,54,0,39,41,19,16,2,10,32
Jesse Orosco,MIL,3,1,3.23,59,0,39,33,15,14,5,13,40
Scott Bailes,CAL,3,1,7.45,32,0,38.2,59,34,32,7,28,25
Buddy Groom,DET,0,5,5.82,12,7,38.2,48,28,25,4,22,15
Bob Kipper,MIN,3,3,4.42,25,0,38.2,40,23,19,8,14,22
Scott Lewis,CAL,4,0,3.99,21,2,38.1,36,18,17,3,14,18
